,airy10::Probabilities::Post,airy10::Probabilities::3rdStair,airy10::Probabilities::2ndStair,airy10::Probabilities::1stStair,airy10::Probabilities::Pre,airy10::FrameCount,airy10::SpaceStep,airy10::TimeStep,airy10::PointCount,airy10::RegionLength::Post,airy10::RegionLength::3rdStair,airy10::RegionLength::2ndStair,airy10::RegionLength::1stStair,airy10::RegionLength::Pre,packetStartX,packetStartY,initialWaveNumber,standardDeviation
0,0.001601864953915428,0.003959918966295698,0.013004783870560843,0.04819086302732004,0.933242569181908,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
1,0.0017405231197681207,0.0043303883166810895,0.014221443537577065,0.052699348391379755,0.927008296634594,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
2,0.0017405913678097227,0.004331024847140928,0.014223534021254976,0.052707095158780366,0.926997754605014,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
3,0.0017427177553214566,0.004337413320485167,0.014244514694706589,0.0527848427130296,0.9268905115164574,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
4,0.001747618268587307,0.004351381604442029,0.014290388320708126,0.05295483451150738,0.9266557772947555,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
5,0.0017547557515271352,0.0043713284720919504,0.01435589590425326,0.05319758119947246,0.926320438672655,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
6,0.0017621054110718906,0.004391694343400991,0.014422778734331041,0.053445421061115383,0.9259780004500807,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
7,0.0017672551545086627,0.004406130891864912,0.014470188595942663,0.053621099700177394,0.9257353256575065,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
8,0.0017703748653525207,0.004415249829278439,0.014500135326735573,0.053732068217068406,0.9255821717615651,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
9,0.0017730517243609721,0.00442322612307776,0.014526329670844013,0.05382913245450579,0.9254482600272114,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
10,0.0017754781006433817,0.004430588382085921,0.014550507356784119,0.05391872334047225,0.9253247028200143,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
11,0.0017778860852762143,0.004438006093428543,0.014574867464196317,0.05400899138333166,0.9252002489737671,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
12,0.0017809126275740042,0.004447041483690582,0.014604539986689343,0.05411894448639834,0.9250485614156478,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
13,0.0017837018115185543,0.004455400076167378,0.014631988938817357,0.05422065455397965,0.924908254619517,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
14,0.0017853165560501039,0.004460686910408671,0.014649349847952606,0.05428498186109793,0.9248196648244907,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
15,0.0017865602548674925,0.004464969668286455,0.0146634137377306,0.054337093418121055,0.9247479629209944,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
16,0.0017872991349921854,0.004467976047262977,0.014673285284930693,0.05437366757459652,0.9246977719582176,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
17,0.0017870749967272188,0.0044685901112005546,0.014675300516728603,0.05438113027725952,0.9246879040980839,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
18,0.0017878007295123463,0.004471615373708726,0.014685235489098619,0.05441794474011258,0.9246374036675679,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
19,0.0017886125682866083,0.004474891515118977,0.014695992186084297,0.054457796091156856,0.9245827076393534,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
20,0.0017869733303371607,0.004471971208383101,0.014686398856427295,0.054422236940076134,0.9246324196647764,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
21,0.0017863706356393144,0.0044715429379726,0.01468499286166668,0.05441702901847402,0.9246400645462473,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
