,stark_well_00::Probabilities::BP0,stark_well_00::Probabilities::BP1,stark_well_00::Probabilities::BP2,stark_well_00::Probabilities::SL0,stark_well_00::Probabilities::B0,stark_well_00::Probabilities::SL1,stark_well_00::Probabilities::B1,stark_well_00::Probabilities::SL2,stark_well_00::Probabilities::EP0,stark_well_00::Probabilities::EP1,stark_well_00::Probabilities::EP2,stark_well_00::FrameCount,stark_well_00::SpaceStep,stark_well_00::TimeStep,stark_well_00::PointCount,stark_well_00::RegionLength::BP0,stark_well_00::RegionLength::BP1,stark_well_00::RegionLength::BP2,stark_well_00::RegionLength::SL0,stark_well_00::RegionLength::B0,stark_well_00::RegionLength::SL1,stark_well_00::RegionLength::B1,stark_well_00::RegionLength::SL2,stark_well_00::RegionLength::EP0,stark_well_00::RegionLength::EP1,stark_well_00::RegionLength::EP2,packetStartX,packetStartY,initialWaveNumber,standardDeviation
50,0.19711667837021943,0.5003799056550102,0.27239600092022287,0.029433286670923646,0.0006715515874280547,2.5747735028508773e-06,2.0224584838618965e-09,2.3453422965639675e-13,5.7973975551927936e-18,1.9080846017736573e-23,1.4362268747124416e-29,200,0.002,1e-06,500,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.5,NULL,0.06818181818181818
51,0.19656658933208596,0.5002761352005803,0.27292203615069865,0.02955671247836875,0.0006759265911830997,2.5982010111092523e-06,2.0458342095558475e-09,2.379021513256506e-13,5.8959904769384334e-18,1.94597562711995e-23,1.4688613981791522e-29,200,0.002,1e-06,500,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.5,NULL,0.06818181818181818
52,0.19601686775399466,0.5001711452568088,0.27344843404395924,0.02968059973467536,0.0006803292968583634,2.6218439761220916e-06,2.0694861828799716e-09,2.413198879418404e-13,5.99632132795616e-18,1.9846484939962974e-23,1.5022677775892537e-29,200,0.002,1e-06,500,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.5,NULL,0.06818181818181818
53,0.19546855817705253,0.5000642873758862,0.2739748365830724,0.02980491113368988,0.0006847589358219118,2.6457008174127857e-06,2.0934149847738566e-09,2.4478788839666273e-13,6.09841369789843e-18,2.024117218454673e-23,1.5364628491964388e-29,200,0.002,1e-06,500,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.5,NULL,0.06818181818181818
54,0.19492205820395397,0.4999553171980477,0.2745011045538444,0.0299296327531972,0.0006892154004605296,2.6697726245996905e-06,2.1176232724217717e-09,2.4830685244181024e-13,6.202296214490677e-18,2.0643976371481425e-23,1.5714650065756292e-29,200,0.002,1e-06,500,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.5,NULL,0.06818181818181818
55,0.19437676523365957,0.49984461183655227,0.2750274395092129,0.030054787712281195,0.0006936995019150364,2.6940640107545186e-06,2.1421164822230567e-09,2.5187779534394414e-13,6.308005696078781e-18,2.1055084880308392e-23,1.6072950834909727e-29,200,0.002,1e-06,500,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.5,NULL,0.06818181818181818
56,0.19383260460910579,0.49973221981442456,0.2755538635480318,0.03018037972435907,0.0006982115593976133,2.7185775272291284e-06,2.1668984455855608e-09,2.5550152862752125e-13,6.415575622382681e-18,2.1474675952947735e-23,1.6439734752460306e-29,200,0.002,1e-06,500,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.5,NULL,0.06818181818181818
57,0.19328934259014738,0.4996182880373422,0.27608045331657904,0.030306418635193007,0.000702751912851839,2.7433156546794114e-06,2.191973002240137e-09,2.591788614645576e-13,6.525041367888999e-18,2.1902936135818474e-23,1.6815214441775768e-29,200,0.002,1e-06,500,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.5,NULL,0.06818181818181818
58,0.19274651906430995,0.49950310299015543,0.2766073633966175,0.03043292304070035,0.0007073210093143294,2.768281294739143e-06,2.2173444105017687e-09,2.6291067160332597e-13,6.6364408977847214e-18,2.234006265110453e-23,1.719961275209556e-29,200,0.002,1e-06,500,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.5,NULL,0.06818181818181818
59,0.1922044726494516,0.49938645637326756,0.2771344750965587,0.030559881558062874,0.0007119186045696413,2.793474808393321e-06,2.2430149501780382e-09,2.666976337025097e-13,6.7498064585147526e-18,2.2786235197340486e-23,1.7593140938976885e-29,200,0.002,1e-06,500,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.5,NULL,0.06818181818181818
