,numpy_profile_10::Probabilities::Post,numpy_profile_10::Probabilities::3rdStair,numpy_profile_10::Probabilities::2ndStair,numpy_profile_10::Probabilities::1stStair,numpy_profile_10::Probabilities::Pre,numpy_profile_10::FrameCount,numpy_profile_10::SpaceStep,numpy_profile_10::TimeStep,numpy_profile_10::PointCount,numpy_profile_10::RegionLength::Post,numpy_profile_10::RegionLength::3rdStair,numpy_profile_10::RegionLength::2ndStair,numpy_profile_10::RegionLength::1stStair,numpy_profile_10::RegionLength::Pre,numpy_profile_11::Probabilities::Post,numpy_profile_11::Probabilities::3rdStair,numpy_profile_11::Probabilities::2ndStair,numpy_profile_11::Probabilities::1stStair,numpy_profile_11::Probabilities::Pre,numpy_profile_11::FrameCount,numpy_profile_11::SpaceStep,numpy_profile_11::TimeStep,numpy_profile_11::PointCount,numpy_profile_11::RegionLength::Post,numpy_profile_11::RegionLength::3rdStair,numpy_profile_11::RegionLength::2ndStair,numpy_profile_11::RegionLength::1stStair,numpy_profile_11::RegionLength::Pre,packetStartX,packetStartY,initialWaveNumber,standardDeviation
38,3.9968291465330627e-45,2.6224625709668915e-26,8.932246207838935e-13,0.00026272258979073633,0.999737277409316,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,3.995286637671902e-45,2.409151193418728e-26,8.93802017920924e-13,0.0002630218805240211,0.9997369781185822,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
39,5.140310366698466e-45,3.1129235869055645e-26,9.936128629480563e-13,0.0002766176297949603,0.9997233823692113,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,5.1366546236723756e-45,2.860073379351939e-26,9.942949395973062e-13,0.0002769413708609792,0.9997230586281447,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
40,6.611977451172785e-45,3.6954061778412353e-26,1.105195713508495e-12,0.0002912028025592722,0.9997087971963358,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,6.606223183835367e-45,3.395650224648803e-26,1.1059998091503016e-12,0.00029155268454978165,0.9997084473143439,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
41,8.498445980904414e-45,4.3871993189873487e-26,1.2292082399184592e-12,0.00030650962555960813,0.9996934903732113,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,8.498865248764119e-45,4.031797377359957e-26,1.230154359531185e-12,0.0003068874389221249,0.9996931125598477,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
42,1.0891621551832353e-44,5.208838722503186e-26,1.3670199141592269e-12,0.00032257089226716683,0.9996774291063658,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.0936992050197641e-44,4.787422631274358e-26,1.3681311196266822e-12,0.00032297853372742713,0.999677021464904,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
43,1.3867628452453784e-44,6.184717187055835e-26,1.5201490234906201e-12,0.0003394207214361135,0.9996605792770437,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.4078571357394074e-44,5.684987739536548e-26,1.5214518742532508e-12,0.00033986019943606124,0.9996601397990424,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
44,1.7469701285804974e-44,7.343808404249729e-26,1.6902785489543259e-12,0.00035709459676420735,0.9996429054015455,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.8127484849553514e-44,6.751175245183068e-26,1.6918035930893123e-12,0.0003575680350270908,0.999642431963281,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
45,2.180640714634713e-44,8.720524951318567e-26,1.879273700768566e-12,0.00037562940746985445,0.999624370590651,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,2.334690836297915e-44,8.017680127614715e-26,1.881056046737301e-12,0.0003761390518475357,0.9996238609462711,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
46,2.7669771083567783e-44,1.0355736123716375e-25,2.089201344733003e-12,0.0003950635021990006,0.9996049364957115,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,3.007659872330989e-44,9.522149693152876e-26,2.0912813146535335e-12,0.00039561172840362597,0.999604388269505,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
47,3.8368437831810185e-44,1.2297975471661123e-25,2.322351431346916e-12,0.0004154367384377897,0.9995845632592397,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,3.8755227594090544e-44,1.1309298945292777e-25,2.3247752847388633e-12,0.0004160260566562835,0.9995839739410187,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
