,cupy_profile_2_cg0::Probabilities::Post,cupy_profile_2_cg0::Probabilities::3rdStair,cupy_profile_2_cg0::Probabilities::2ndStair,cupy_profile_2_cg0::Probabilities::1stStair,cupy_profile_2_cg0::Probabilities::Pre,cupy_profile_2_cg0::FrameCount,cupy_profile_2_cg0::SpaceStep,cupy_profile_2_cg0::TimeStep,cupy_profile_2_cg0::PointCount,cupy_profile_2_cg0::RegionLength::Post,cupy_profile_2_cg0::RegionLength::3rdStair,cupy_profile_2_cg0::RegionLength::2ndStair,cupy_profile_2_cg0::RegionLength::1stStair,cupy_profile_2_cg0::RegionLength::Pre,cupy_profile_2_cg1::Probabilities::Post,cupy_profile_2_cg1::Probabilities::3rdStair,cupy_profile_2_cg1::Probabilities::2ndStair,cupy_profile_2_cg1::Probabilities::1stStair,cupy_profile_2_cg1::Probabilities::Pre,cupy_profile_2_cg1::FrameCount,cupy_profile_2_cg1::SpaceStep,cupy_profile_2_cg1::TimeStep,cupy_profile_2_cg1::PointCount,cupy_profile_2_cg1::RegionLength::Post,cupy_profile_2_cg1::RegionLength::3rdStair,cupy_profile_2_cg1::RegionLength::2ndStair,cupy_profile_2_cg1::RegionLength::1stStair,cupy_profile_2_cg1::RegionLength::Pre,packetStartX,packetStartY,initialWaveNumber,standardDeviation
10,4.3319582502436126e-48,2.093755249895082e-28,4.132225038796627e-14,5.854508997785295e-05,0.9999414549099804,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,4.350636171000103e-48,2.097934057575301e-28,4.433516659900426e-14,5.8545089977604194e-05,0.9999414549099779,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
11,5.496362052672966e-48,2.4737015618602754e-28,4.557469632861113e-14,6.188330500189221e-05,0.9999381166949523,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,5.52234178006197e-48,2.479112966586847e-28,4.936643879859868e-14,6.188330500156169e-05,0.9999381166949487,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
12,6.97802687349437e-48,2.9233010845243997e-28,5.0287258995970846e-14,6.540375017488511e-05,0.9999345962497751,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,7.013883380101114e-48,2.9302520313103463e-28,5.496886001808505e-14,6.540375017446755e-05,0.9999345962497708,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
13,8.86440815960152e-48,3.4554259552443365e-28,5.552401847582744e-14,6.911581292584114e-05,0.9999308841870185,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,8.91357818841672e-48,3.4642940251756517e-28,6.120709209063766e-14,6.911581292534048e-05,0.9999308841870134,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
14,1.1267310699251252e-47,4.085341737541429e-28,6.134198420174274e-14,7.30293267594883e-05,0.9999269706731793,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.1334372503409496e-47,4.096590680379848e-28,6.815307565301297e-14,7.302932675890414e-05,0.9999269706731732,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
15,1.4329726002181534e-47,4.831154477835909e-28,6.779621932925121e-14,7.715459114955262e-05,0.9999228454087827,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.4420768139857678e-47,4.845353059756343e-28,7.588684339376821e-14,7.715459114887077e-05,0.9999228454087751,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
16,1.8234602970549811e-47,5.714341324776288e-28,7.495321788274098e-14,8.150238925183153e-05,0.9999184976106732,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.835771012680057e-47,5.732186183093728e-28,8.449742026034128e-14,8.150238925102763e-05,0.9999184976106643,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
17,2.321610255500785e-47,6.76038063067987e-28,8.289985728280031e-14,8.608400812416438e-05,0.9999139159917929,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,2.3381995067121795e-47,6.782723970051976e-28,9.408382441034816e-14,8.608400812321564e-05,0.9999139159917823,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
18,2.9574045189639456e-47,7.999500509304836e-28,9.174021076608617e-14,9.091126424015393e-05,0.9999090887356676,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,2.979692035168193e-47,8.02738364598446e-28,1.0475618351667723e-13,9.0911264239047e-05,0.999909088735656,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
19,3.769245882736584e-47,9.467567260278521e-28,1.0158499659249645e-13,9.59965234632322e-05,0.9999040034764349,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,3.799109693663008e-47,9.502261224151905e-28,1.1663696717864712e-13,9.599652346195909e-05,0.9999040034764209,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
