,"Starting ""Step""",Created knownStepMatrix,Created unknownStepMatrix,"Started ""Compute""",Reshaped Wave Function,Matrix Multiplication,Solved For Independant Terms and Reshaped,"Appended Wave Function and Finished ""Compute""","Computed and Finished ""Step"""
0,88079.674662501,88079.67609536,88079.677607698,88079.677612378,88079.677785793,88079.678786406,88081.923137665,88081.923488965,88081.923495111
1,88081.923996919,88081.925737707,88081.927081868,88081.92708522,88081.927206185,88081.92817076,88084.271392497,88084.271761817,88084.271768801
2,88084.272512887,88084.274524728,88084.276213974,88084.276217256,88084.276351421,88084.277201386,88086.707636782,88086.707999187,88086.708005542
3,88086.708542061,88086.710421763,88086.71185979,88086.711863632,88086.712035301,88086.713048276,88089.046334076,88089.046653739,88089.046659885
4,88089.047187673,88089.048905274,88089.050529917,88089.050534596,88089.05065612,88089.051652681,88091.859059736,88091.859406916,88091.859413272
5,88091.859908166,88091.861704826,88091.863005197,88091.863008968,88091.863145717,88091.864083752,88094.228832456,88094.22922615,88094.229232784
6,88094.229783411,88094.231494028,88094.232735872,88094.232739643,88094.232879046,88094.233782929,88096.718948492,88096.719277513,88096.719284567
7,88096.719950501,88096.721692267,88096.722995711,88096.722998993,88096.723115628,88096.72401979,88099.003936694,88099.004308249,88099.004314535
8,88099.004911047,88099.006608254,88099.007903317,88099.007906599,88099.008018904,88099.00891245,88101.6731228,88101.673492818,88101.673498964
9,88101.674025007,88101.675830468,88101.677373955,88101.677377796,88101.677557986,88101.678706522,88104.154789257,88104.155137345,88104.155143561
10,88104.155760467,88104.157427782,88104.15882586,88104.158829702,88104.15896226,88104.159859648,88106.671973798,88106.672330127,88106.672335714
11,88106.672907712,88106.674715478,88106.676061734,88106.676066134,88106.676217689,88106.677200842,88109.350245456,88109.350614775,88109.350620991
12,88109.35117085,88109.353050971,88109.354388846,88109.354392198,88109.354502826,88109.355613299,88111.821815551,88111.822200585,88111.82220729
13,88111.822783269,88111.824721637,88111.826065798,88111.82606957,88111.826206039,88111.827108315,88114.10331261,88114.103736964,88114.103744507
14,88114.104417146,88114.106171413,88114.107736621,88114.10774144,88114.107942233,88114.109390527,88116.311246582,88116.31162079,88116.311627425
15,88116.312165131,88116.313944961,88116.315441445,88116.315444727,88116.315569184,88116.316600317,88118.484502728,88118.484820715,88118.484826512
