,"Starting ""Step""",Created knownStepMatrix,Created unknownStepMatrix,"Started ""Compute""",Reshaped Wave Function,Matrix Multiplication,Solved For Independant Terms and Reshaped,"Appended Wave Function and Finished ""Compute""","Computed and Finished ""Step"""
0,87624.873335746,87624.875309593,87624.878690248,87624.878703168,87624.879061453,87624.880673383,87627.359806208,87627.360167426,87627.360172594
1,87627.360699265,87627.363346729,87627.365878116,87627.365882866,87627.366041754,87627.367363356,87630.680462783,87630.680851449,87630.680857245
2,87630.681466469,87630.684160656,87630.685948516,87630.68595138,87630.686134293,87630.687664929,87634.887482233,87634.887922999,87634.887929564
3,87634.888452115,87634.890767135,87634.892769757,87634.892773668,87634.892938981,87634.894023403,87638.580037286,87638.580362117,87638.580367355
4,87638.58086148,87638.583320722,87638.584808964,87638.584812247,87638.58496443,87638.586086077,87642.136837738,87642.137338079,87642.137344155
5,87642.137999194,87642.141212859,87642.143921573,87642.143925344,87642.144152816,87642.145766493,87645.299683428,87645.30002488,87645.300030677
6,87645.300610148,87645.303167168,87645.304913333,87645.304918012,87645.305107002,87645.306519048,87652.015381456,87652.01574023,87652.015746376
7,87652.016440246,87652.019348077,87652.022687037,87652.022690389,87652.02285263,87652.024168644,87654.826698221,87654.827083744,87654.827090378
8,87654.827758897,87654.830238323,87654.831774546,87654.831779295,87654.831904799,87654.832955418,87658.060034244,87658.060383379,87658.060388548
9,87658.060903625,87658.063198392,87658.065226365,87658.065230696,87658.065379457,87658.06648951,87661.776546724,87661.776972125,87661.776980087
10,87661.777543425,87661.780408513,87661.782557172,87661.782560943,87661.78276872,87661.784572923,87665.568855638,87665.569191992,87665.56919716
11,87665.56972872,87665.571946452,87665.574153777,87665.57415713,87665.57430219,87665.575540261,87667.976874309,87667.9772254,87667.977230708
12,87667.977789995,87667.980417693,87667.981896647,87667.981900488,87667.982028786,87667.983040852,87670.706878386,87670.707260486,87670.707266702
13,87670.707774027,87670.710192901,87670.712608492,87670.712611845,87670.712795038,87670.714089192,87672.902383751,87672.902709559,87672.902713889
14,87672.903682235,87672.906139731,87672.907617078,87672.907620431,87672.907741814,87672.908861017,87674.937623458,87674.937957717,87674.937962467
15,87674.938501569,87674.940809396,87674.942928512,87674.942932284,87674.943049687,87674.944151987,87677.017745241,87677.018146617,87677.018153252
16,87677.018673917,87677.021161514,87677.023037654,87677.023041984,87677.023264078,87677.024643858,87679.322895352,87679.323289185,87679.323295331
17,87679.323808663,87679.326035614,87679.328091803,87679.328095575,87679.328294552,87679.32929677,87684.090346182,87684.090758035,87684.090765158
18,87684.091328356,87684.09398895,87684.096152485,87684.096156745,87684.096408383,87684.098189957,87690.39790802,87690.398423307,87690.39843099
19,87690.399337736,87690.402281954,87690.404978027,87690.404981868,87690.405241817,87690.408530141,87695.00286736,87695.003196101,87695.003200781
20,87695.003845902,87695.006327005,87695.008027494,87695.008030846,87695.008180935,87695.009478301,87698.076661069,87698.076991068,87698.076996375
21,87698.077516412,87698.079754816,87698.082373226,87698.082377556,87698.08252108,87698.083723602,87701.06535489,87701.065722883,87701.065730076
22,87701.066257865,87701.069015817,87701.070688021,87701.070692351,87701.070812058,87701.071790182,87703.963687491,87703.964119667,87703.96412728
23,87703.964853347,87703.967115777,87703.969106177,87703.969110507,87703.969281617,87703.97048854,87706.906252995,87706.906580549,87706.906586206
24,87706.907069366,87706.909544043,87706.911326735,87706.911330576,87706.91144756,87706.912571232,87709.792499048,87709.792866551,87709.792872627
25,87709.793409705,87709.795611792,87709.797823099,87709.797827359,87709.797995816,87709.799015075,87712.698425742,87712.698794433,87712.698801627
26,87712.699311396,87712.701899285,87712.703947024,87712.703951354,87712.704191747,87712.706301854,87715.939844467,87715.940173488,87715.940178656
27,87715.940847034,87715.943008544,87715.945371685,87715.945376015,87715.9455803,87715.946839534,87718.708922988,87718.70925613,87718.709261717
28,87718.709887423,87718.712325713,87718.713779034,87718.713782876,87718.713918437,87718.715073957,87722.902805062,87722.903338089,87722.903342977
29,87722.903876074,87722.906224967,87722.90847748,87722.908482578,87722.908712565,87722.910137322,87726.665837388,87726.666164803,87726.66617046
30,87726.666830947,87726.669406195,87726.670961484,87726.670966164,87726.671136576,87726.672648145,87730.332118287,87730.332592368,87730.332598164
31,87730.333157521,87730.335400117,87730.337855798,87730.337860478,87730.338449866,87730.340635821,87733.183701201,87733.184055365,87733.184062418
