,"Starting ""Step""",Created knownStepMatrix,Created unknownStepMatrix,"Started ""Compute""",Reshaped Wave Function,Matrix Multiplication,Solved For Independant Terms and Reshaped,"Appended Wave Function and Finished ""Compute""","Computed and Finished ""Step"""
34,87552.324285578,87552.326285127,87552.327582004,87552.327585287,87552.327728531,87552.328711893,87554.306535716,87554.3069776,87554.306982908
35,87554.307521033,87554.309495159,87554.310793085,87554.310796437,87554.310956722,87554.311923811,87556.869337106,87556.869683657,87556.869688476
36,87556.870199153,87556.872345508,87556.873642036,87556.873645389,87556.873771172,87556.874804261,87559.040964524,87559.041391811,87559.041397119
37,87559.041941949,87559.04392271,87559.045233696,87559.045237537,87559.045436025,87559.046462898,87561.141180965,87561.141533592,87561.14153883
38,87561.141999851,87561.144017069,87561.14533916,87561.145342442,87561.145464524,87561.146492375,87563.710630382,87563.711016812,87563.711021073
39,87563.711710613,87563.713823583,87563.715266988,87563.71527935,87563.715470225,87563.716472793,87566.531365627,87566.531759251,87566.53176442
40,87566.532457801,87566.534416702,87566.535853402,87566.535856754,87566.536022766,87566.537020655,87569.679971222,87569.68035018,87569.680354999
41,87569.68085974,87569.682876399,87569.684254851,87569.684259112,87569.684416394,87569.68537999,87572.622468351,87572.62284661,87572.622851918
42,87572.623345485,87572.625282106,87572.626576889,87572.626580591,87572.626730609,87572.627746447,87574.785784549,87574.786184807,87574.786190884
43,87574.786887338,87574.789215768,87574.791032054,87574.791035476,87574.791249399,87574.793000523,87577.005915997,87577.006295723,87577.006300472
44,87577.006798159,87577.008890247,87577.010165195,87577.010168617,87577.010303061,87577.0112918,87579.491340101,87579.491714798,87579.491720036
45,87579.492333659,87579.494387474,87579.495662143,87579.495665984,87579.495798542,87579.496809212,87581.749914073,87581.750302738,87581.750308046
46,87581.750875225,87581.752982957,87581.754548234,87581.754551587,87581.754739599,87581.756042273,87584.079322206,87584.079656534,87584.079661284
47,87584.080434913,87584.082699228,87584.083935973,87584.083939814,87584.084075935,87584.085112375,87586.36602842,87586.36641534,87586.366421206
48,87586.366952557,87586.36889295,87586.370666982,87586.370671801,87586.370855902,87586.372084196,87589.511927117,87589.513049322,87589.513057005
49,87589.51386723,87589.516744681,87589.518754426,87589.518758826,87589.518961644,87589.520445696,87592.805450246,87592.805899394,87592.805905679
50,87592.806506242,87592.8085764,87592.810003252,87592.810006604,87592.810167169,87592.811244956,87594.981782365,87594.98212745,87594.982133177
51,87594.982691416,87594.984755637,87594.986104826,87594.986108667,87594.986228375,87594.987291565,87599.49247239,87599.492887525,87599.492892693
52,87599.493458335,87599.495985044,87599.497578886,87599.497582727,87599.497727088,87599.498818494,87602.459497476,87602.459896338,87602.459901157
53,87602.460918182,87602.463035482,87602.464363649,87602.464367001,87602.464499559,87602.465407982,87604.551234868,87604.551628771,87604.551633101
54,87604.552194553,87604.554224552,87604.555505506,87604.555509837,87604.555657131,87604.556621077,87607.153652669,87607.154136457,87607.154180248
55,87607.154867623,87607.157736134,87607.159228357,87607.159232687,87607.159398699,87607.160310124,87610.742780154,87610.743130826,87610.743136134
56,87610.743662107,87610.745856162,87610.747390151,87610.747394481,87610.74753549,87610.748670825,87613.940524215,87613.940941236,87613.940946544
57,87613.941447444,87613.943502795,87613.944791711,87613.944794994,87613.944907577,87613.945874457,87617.259193604,87617.259614326,87617.259619704
58,87617.260175429,87617.262483675,87617.263819384,87617.263822667,87617.263977295,87617.264921406,87619.498721092,87619.499081402,87619.499086081
