,"Starting ""Step""",Created knownStepMatrix,Created unknownStepMatrix,"Started ""Compute""",Reshaped Wave Function,Matrix Multiplication,Solved For Independant Terms and Reshaped,"Appended Wave Function and Finished ""Compute""","Computed and Finished ""Step"""
0,87935.916828939,87935.918170236,87935.919639901,87935.919643184,87935.919766733,87935.920917992,87938.044010877,87938.044404292,87938.044410088
1,87938.044966093,87938.047079483,87938.048925382,87938.048929642,87938.049121915,87938.050312565,87940.196579756,87940.196952777,87940.196958923
2,87940.197553271,87940.199623359,87940.201263437,87940.201267837,87940.201418554,87940.202590067,87942.360479368,87942.360865379,87942.360871525
3,87942.361657726,87942.363611599,87942.365191403,87942.365195245,87942.365336254,87942.366321432,87944.559356772,87944.559734752,87944.559741317
4,87944.560341321,87944.562512889,87944.564226509,87944.564230839,87944.56435334,87944.565301712,87946.754166704,87946.754600417,87946.754606493
5,87946.75547769,87946.757794946,87946.759445709,87946.759449061,87946.759547817,87946.760470277,87948.910166455,87948.910501412,87948.91050665
6,87948.911162388,87948.913122686,87948.914704796,87948.914707659,87948.914824503,87948.915787541,87951.097426988,87951.097779825,87951.097785063
7,87951.098383741,87951.100454179,87951.102008142,87951.102011424,87951.102118561,87951.103084043,87953.241854636,87953.242236737,87953.242242883
8,87953.242812716,87953.244801719,87953.246438723,87953.246442634,87953.24657624,87953.247462803,87955.409084548,87955.409496471,87955.409503106
9,87955.410097313,87955.411993009,87955.41358748,87955.413590343,87955.413725695,87955.41465961,87957.560817779,87957.561165727,87957.561170896
10,87957.561730322,87957.563734341,87957.565330768,87957.56533412,87957.565445517,87957.566413723,87959.684410446,87959.684772153,87959.68477774
11,87959.685335701,87959.68728252,87959.688911492,87959.688915822,87959.689050965,87959.689978105,87961.813280373,87961.813675464,87961.813681749
12,87961.814419341,87961.816378871,87961.818022021,87961.818025373,87961.818172179,87961.819107141,87963.943804275,87963.944178693,87963.944185397
13,87963.944868443,87963.946743046,87963.948339892,87963.948343594,87963.948476082,87963.949512034,87966.104895647,87966.105265945,87966.105282078
14,87966.1058348,87966.107772051,87966.109367151,87966.109370503,87966.109471214,87966.110405128,87968.243621403,87968.24397417,87968.243979827
15,87968.244599527,87968.246545508,87968.248113649,87968.248117001,87968.248224905,87968.249170623,87970.393567052,87970.393922753,87970.393927921
16,87970.394691842,87970.39677562,87970.398460186,87970.39846298,87970.398571163,87970.399571427,87972.544173678,87972.544575752,87972.544582457
17,87972.545131338,87972.546977865,87972.548575968,87972.548579879,87972.548726895,87972.549659203,87974.688225581,87974.688710557,87974.688716354
18,87974.689264466,87974.691149895,87974.69279542,87974.692798773,87974.692942226,87974.69402595,87976.876232576,87976.876607063,87976.876613279
19,87976.877165582,87976.879117639,87976.880625927,87976.880630606,87976.880765609,87976.881777256,87978.999911776,87979.000241286,87979.000247013
20,87979.000805811,87979.002852293,87979.00456738,87979.004569754,87979.004691767,87979.005702995,87981.227969887,87981.22831993,87981.228326146
