,"Starting ""Step""",Created knownStepMatrix,Created unknownStepMatrix,"Started ""Compute""",Reshaped Wave Function,Matrix Multiplication,Solved For Independant Terms and Reshaped,"Appended Wave Function and Finished ""Compute""","Computed and Finished ""Step"""
0,88373.364362255,88373.366131329,88373.367776994,88373.367780276,88373.367893419,88373.368911701,88375.583129971,88375.583610896,88375.583617042
1,88375.58416306,88375.586723991,88375.588447598,88375.58845144,88375.588573103,88375.589700198,88377.748137331,88377.748539965,88377.74854667
2,88377.749259607,88377.751642025,88377.753728386,88377.753732717,88377.753887694,88377.755165296,88379.96882379,88379.969235433,88379.969241788
3,88379.969808968,88379.97289657,88379.974747428,88379.974751199,88379.974944659,88379.976014834,88382.179170142,88382.17957054,88382.179576756
4,88382.180176621,88382.182355941,88382.184105739,88382.184109999,88382.184213154,88382.185158872,88384.364455151,88384.364884115,88384.364891029
5,88384.365495015,88384.368029267,88384.369856798,88384.36986008,88384.370012124,88384.37106428,88386.594694888,88386.595195927,88386.595201654
6,88386.595772186,88386.597794573,88386.599548701,88386.599552053,88386.599696205,88386.600807585,88388.755258122,88388.755690089,88388.755696165
7,88388.756284087,88388.758828466,88388.760610251,88388.760614023,88388.760736943,88388.761658984,88390.967869559,88390.968236783,88390.968243558
8,88390.968942597,88390.97099746,88390.972689779,88390.972693201,88390.972852019,88390.973790194,88393.137713901,88393.138069531,88393.138075607
9,88393.139235178,88393.141991176,88393.143846503,88393.143850344,88393.143948681,88393.145142124,88395.389777846,88395.390191445,88395.390197521
10,88395.390962071,88395.39317715,88395.395432247,88395.395438044,88395.395590367,88395.397019385,88397.632996633,88397.633355546,88397.633361203
11,88397.63392524,88397.636601688,88397.638509746,88397.638513447,88397.63864412,88397.639721558,88399.925580049,88399.925963267,88399.925969902
12,88399.926734731,88399.928990667,88399.930821969,88399.930825741,88399.930960115,88399.931903178,88402.209876337,88402.21026584,88402.210283859
13,88402.210830156,88402.213364198,88402.215346916,88402.215349779,88402.215527176,88402.216783057,88404.40696595,88404.407440869,88404.407446666
14,88404.408141654,88404.410122905,88404.411873191,88404.411876544,88404.412019788,88404.412949302,88406.593556009,88406.593912967,88406.593919113
15,88406.594456051,88406.596858094,88406.598548038,88406.598550971,88406.598680038,88406.599780453,88408.792994866,88408.793350706,88408.793356503
16,88408.793876819,88408.795859885,88408.797504572,88408.797507994,88408.797610451,88408.798531236,88411.016538522,88411.016900927,88411.016907073
