,"Starting ""Step""",Created knownStepMatrix,Created unknownStepMatrix,"Started ""Compute""",Reshaped Wave Function,Matrix Multiplication,Solved For Independant Terms and Reshaped,"Appended Wave Function and Finished ""Compute""","Computed and Finished ""Step"""
0,9402.481339706,9402.48171119,9402.482052014,9402.482054878,9402.482086516,9402.483405813,9415.821905558,9415.822215023,9415.822233601
1,9415.823347286,9415.824829103,9415.826286545,9415.826291224,9415.826386138,9415.828780917,9429.403446947,9429.40374461,9429.403762698
2,9429.404891748,9429.406396683,9429.407880804,9429.407885972,9429.408010499,9429.410543772,9442.818471426,9442.818750022,9442.818766784
3,9442.819931871,9442.821751719,9442.822777614,9442.822782363,9442.82301214,9442.825481997,9456.281641718,9456.28192653,9456.281943711
4,9456.283175567,9456.284978024,9456.285895735,9456.285900414,9456.286108471,9456.288576862,9469.817171706,9469.817502403,9469.817520631
5,9469.81862817,9469.820197987,9469.821676451,9469.8216812,9469.821779886,9469.824367984,9483.422031195,9483.422329137,9483.422346527
6,9483.423483679,9483.425423374,9483.426379637,9483.426384456,9483.426481325,9483.429158052,9496.905020902,9496.905309695,9496.905327993
7,9496.906509354,9496.907975456,9496.909437299,9496.909442188,9496.909539965,9496.912091258,9511.015796644,9511.016108833,9511.016127062
8,9511.017227337,9511.018763211,9511.020299434,9511.020304253,9511.020419631,9511.02290632,9524.49499105,9524.495299678,9524.495317068
9,9524.496429915,9524.498321838,9524.499294374,9524.499298705,9524.499397949,9524.502031374,9538.053056569,9538.053342358,9538.05335912
10,9538.054448012,9538.055943028,9538.057419398,9538.057423728,9538.057522064,9538.06008949,9551.522245621,9551.522530432,9551.522547474
11,9551.523648447,9551.52554519,9551.526511999,9551.526516259,9551.526613548,9551.529224135,9565.063360585,9565.063653428,9565.06367026
12,9565.06478157,9565.066730414,9565.067693871,9565.06769862,9565.067796467,9565.070482134,9578.423716378,9578.424020466,9578.424038205
13,9578.425205249,9578.427064905,9578.428062794,9578.428072222,9578.428268406,9578.430786873,9591.91056096,9591.910847447,9591.910864279
14,9591.911946256,9591.913461876,9591.914937477,9591.914941737,9591.915078137,9591.917589061,9605.44912519,9605.449411468,9605.449427601
15,9605.450642276,9605.452486009,9605.453482641,9605.45348732,9605.453657313,9605.456279564,9619.012881564,9619.013232655,9619.013263734
16,9619.014407451,9619.015838354,9619.01733791,9619.017343078,9619.017438411,9619.019926567,9632.5339326,9632.534233266,9632.534250237
17,9632.535377402,9632.537299007,9632.538259182,9632.538264001,9632.5383608,9632.540886391,9646.106137992,9646.106418613,9646.106442569
18,9646.107573714,9646.109482259,9646.110520097,9646.110536789,9646.110685829,9646.113219941,9659.431287347,9659.431570413,9659.431586755
19,9659.432689824,9659.434199368,9659.435641795,9659.435646544,9659.43574481,9659.4382667,9672.915092098,9672.915389691,9672.915407431
20,9672.916525446,9672.918024653,9672.919522394,9672.919527143,9672.919635676,9672.922233343,9686.515815254,9686.516122484,9686.516140015
21,9686.517232258,9686.519148067,9686.520085473,9686.520089803,9686.520198406,9686.522724346,9700.052480507,9700.052781172,9700.052799052
22,9700.053906451,9700.055367176,9700.056849132,9700.05685444,9700.056980224,9700.059542411,9713.632248703,9713.632536378,9713.632554397
23,9713.633688685,9713.635556234,9713.636590858,9713.636595678,9713.636692058,9713.639335541,9727.203201077,9727.203490218,9727.203506771
24,9727.20464497,9727.206471242,9727.207432325,9727.207437493,9727.207534921,9727.210306352,9740.733134703,9740.733422657,9740.733440746
25,9740.734582717,9740.736163568,9740.737630439,9740.737635607,9740.737748331,9740.740288658,9754.401208066,9754.401502237,9754.401519767
26,9754.402637223,9754.40448354,9754.405468159,9754.405472978,9754.405651492,9754.408228346,9767.87988097,9767.880196791,9767.880214111
27,9767.88136984,9767.883363313,9767.884346465,9767.884351144,9767.884449829,9767.887141851,9781.47029133,9781.470579704,9781.470597444
28,9781.47178083,9781.473581401,9781.474555334,9781.474559734,9781.474708286,9781.477379984,9795.077432526,9795.077739966,9795.077756728
29,9795.078831791,9795.080292516,9795.081802688,9795.081807018,9795.081921069,9795.084397771,9808.645058931,9808.645348492,9808.645365044
30,9808.646557789,9808.648352843,9808.649293252,9808.649297512,9808.64942169,9808.651972354,9822.149028391,9822.149310409,9822.149327659
31,9822.150497496,9822.152005993,9822.153451841,9822.15345666,9822.153553041,9822.15607046,9835.768452386,9835.768761643,9835.768778823
32,9835.769860591,9835.771342128,9835.772786371,9835.77279119,9835.772887361,9835.775410507,9849.320065224,9849.320356461,9849.320373711
33,9849.321524133,9849.323321421,9849.324298288,9849.324303177,9849.324470027,9849.32702977,9862.844121938,9862.844410102,9862.844426864
34,9862.845551444,9862.84699862,9862.848485465,9862.848490214,9862.84860622,9862.851155278,9876.504758839,9876.505062089,9876.50507934
