,"Starting ""Step""",Created knownStepMatrix,Created unknownStepMatrix,"Started ""Compute""",Reshaped Wave Function,Matrix Multiplication,Solved For Independant Terms and Reshaped,"Appended Wave Function and Finished ""Compute""","Computed and Finished ""Step"""
0,6184.70169399,6184.7020939,6184.702412375,6184.702415238,6184.702446667,6184.704032128,6198.066449717,6198.066752059,6198.06676938
1,6198.067826842,6198.069344907,6198.07087219,6198.07087659,6198.071040228,6198.073497305,6211.739193233,6211.739480908,6211.73949774
2,6211.740519374,6211.742398028,6211.743422945,6211.743427275,6211.7435261,6211.74616637,6225.285810294,6225.286124788,6225.286142458
3,6225.287158575,6225.288611477,6225.29007325,6225.290077999,6225.290186532,6225.292690123,6238.838290159,6238.838578323,6238.838594945
4,6238.840319459,6238.842234081,6238.843200052,6238.843203894,6238.843377379,6238.845852824,6252.472151713,6252.472447489,6252.472464391
5,6252.473980569,6252.475227162,6252.476243488,6252.476246911,6252.476349507,6252.478763352,6266.051092454,6266.051382015,6266.051398218
6,6266.052431306,6266.053973466,6266.055517232,6266.055521492,6266.055619339,6266.058135921,6279.581867966,6279.582175266,6279.582191469
7,6279.583203535,6279.584706444,6279.586226813,6279.586231632,6279.586330667,6279.588749261,6293.061454899,6293.061740269,6293.061755914
8,6293.062868341,6293.064328438,6293.065855861,6293.065860261,6293.066011257,6293.068599984,6306.619886825,6306.620191192,6306.620206907
9,6306.621234338,6306.623319232,6306.624297355,6306.624302105,6306.624398974,6306.626947333,6319.997131942,6319.997430024,6319.997446297
10,6319.998590432,6320.000481587,6320.001430727,6320.001434917,6320.001606307,6320.004301542,6333.521483547,6333.52177213,6333.521790358
11,6333.522798723,6333.524241429,6333.52575649,6333.525761239,6333.525859925,6333.528423439,6347.02073373,6347.021042846,6347.021084681
12,6347.022099751,6347.023535682,6347.024945842,6347.024948705,6347.025087549,6347.027640797,6360.497503416,6360.497792558,6360.497808203
13,6360.498818942,6360.500251311,6360.501734036,6360.501738296,6360.50183796,6360.504378985,6374.067838697,6374.068147813,6374.068163667
14,6374.069253536,6374.071146437,6374.072110383,6374.072114713,6374.072214306,6374.074774748,6387.581928281,6387.582234673,6387.582250737
15,6387.583332993,6387.585156822,6387.586137739,6387.586141929,6387.586266316,6387.588824662,6401.031853245,6401.03216732,6401.032182475
16,6401.033261449,6401.035149182,6401.036133172,6401.036137991,6401.03626154,6401.038870521,6414.558035801,6414.558323965,6414.55833954
17,6414.559360685,6414.561291231,6414.562251545,6414.562255945,6414.562353024,6414.564871142,6428.106829737,6428.107141717,6428.107158758
18,6428.108245763,6428.109838348,6428.111389936,6428.111394336,6428.111491136,6428.114036003,6441.572210867,6441.572501196,6441.572517749
19,6441.573561383,6441.574929918,6441.576397068,6441.576401957,6441.576499734,6441.579056614,6455.047789345,6455.04812982,6455.048146861
20,6455.049214381,6455.051318202,6455.052307431,6455.05231218,6455.052410725,6455.055019986,6468.642634842,6468.642922308,6468.642938092
21,6468.644391693,6468.646163839,6468.647122547,6468.647126807,6468.647228775,6468.649767287,6482.146823135,6482.147130645,6482.147148105
22,6482.148165619,6482.149595614,6482.151074847,6482.151079526,6482.151188059,6482.153658825,6495.618615461,6495.618900762,6495.618916895
23,6495.619985882,6495.621725692,6495.622686634,6495.622690964,6495.622785948,6495.625327393,6509.093014674,6509.09331939,6509.093336431
24,6509.094367704,6509.096326465,6509.097364303,6509.097369122,6509.097465991,6509.100026363,6522.587691598,6522.587998758,6522.588022155
25,6522.589037224,6522.590990817,6522.592000858,6522.592005677,6522.592129715,6522.594759578,6536.085011096,6536.08529039,6536.085307222
26,6536.086352672,6536.088165326,6536.089201208,6536.089206027,6536.089303595,6536.091785884,6549.586783588,6549.58710339,6549.587119732
27,6549.588124605,6549.589527921,6549.590991579,6549.590996328,6549.591102486,6549.593639042,6563.159510364,6563.159794477,6563.159810331
28,6563.161104276,6563.16251709,6563.163940939,6563.163945618,6563.164073427,6563.166586586,6576.701006612,6576.701294776,6576.701310769
