,"Starting ""Step""",Created knownStepMatrix,Created unknownStepMatrix,"Started ""Compute""",Reshaped Wave Function,Matrix Multiplication,Solved For Independant Terms and Reshaped,"Appended Wave Function and Finished ""Compute""","Computed and Finished ""Step"""
0,7791.048094293,7791.048475207,7791.048801504,7791.048803879,7791.048835796,7791.050189456,7804.631717293,7804.632035,7804.632051761
1,7804.633754976,7804.635334571,7804.636840414,7804.636844744,7804.636944547,7804.639391708,7818.320077656,7818.320372315,7818.320390334
2,7818.32149501,7818.323500846,7818.324503065,7818.324507814,7818.324607128,7818.327331419,7831.937137903,7831.937428093,7831.937444855
3,7831.938516985,7831.940033165,7831.941510932,7831.941515611,7831.941614227,7831.944175997,7845.504092703,7845.504381287,7845.504398887
4,7845.505519696,7845.507066257,7845.508561135,7845.508565884,7845.508673928,7845.511244917,7859.069916986,7859.070236788,7859.07025383
5,7859.07140041,7859.073306862,7859.074317951,7859.074322351,7859.074422783,7859.077132965,7872.687883491,7872.688211186,7872.688228297
6,7872.6893915,7872.691381062,7872.692387402,7872.692392221,7872.692491535,7872.695124613,7886.310684186,7886.311158337,7886.311175657
7,7886.312330898,7886.313790367,7886.315374712,7886.315378972,7886.315509295,7886.318031466,7899.879252245,7899.879537266,7899.879554517
8,7899.880696837,7899.88261146,7899.883596918,7899.883602086,7899.883702098,7899.88632484,7913.47312442,7913.473404203,7913.473420826
9,7913.474560283,7913.476404576,7913.477414687,7913.477419436,7913.477518191,7913.480283129,7927.114636653,7927.114928868,7927.114947167
10,7927.116105062,7927.117722581,7927.119185961,7927.11919071,7927.119289814,7927.121782372,7940.829218006,7940.829516228,7940.829532361
11,7940.830559793,7940.832017376,7940.83351407,7940.833518819,7940.833618413,7940.836123542,7954.556036492,7954.556320885,7954.556337856
12,7954.557377371,7954.559206368,7954.56018561,7954.560190429,7954.560299032,7954.563042808,7968.189858665,7968.190163033,7968.190179236
13,7968.191229925,7968.19302044,7968.193945485,7968.193950583,7968.194113662,7968.196704207,7981.815475561,7981.815767426,7981.815784677
14,7981.816822935,7981.818842529,7981.819832735,7981.819837415,7981.819934214,7981.822606403,7995.52060908,7995.520898291,7995.520915751
15,7995.521986694,7995.52336305,7995.524820144,7995.524824404,7995.524923229,7995.527497289,8009.094553142,8009.094834741,8009.094850875
16,8009.095869645,8009.097291399,8009.098748003,8009.098752822,8009.098849273,8009.101331283,8022.61205058,8022.612355087,8022.612370731
17,8022.613393273,8022.61477424,8022.616336094,8022.616340424,8022.616449795,8022.618869367,8036.562437291,8036.562734115,8036.562751156
18,8036.563805756,8036.565553038,8036.566522222,8036.566526482,8036.56665038,8036.569344288,8050.225794544,8050.226105476,8050.226122517
19,8050.227156164,8050.228920698,8050.229869488,8050.229873748,8050.229989475,8050.232601249,8063.798565487,8063.798854838,8063.798871391
20,8063.799946593,8063.801322252,8063.802895211,8063.80289989,8063.803024277,8063.805498255,8077.375828185,8077.376142959,8077.37616021
21,8077.377279132,8077.379210236,8077.380186614,8077.380190944,8077.380310721,8077.382893931,8091.022101418,8091.022389303,8091.022406624
22,8091.023640435,8091.025432835,8091.026535205,8091.026539885,8091.026637173,8091.029500585,8104.696397031,8104.696685195,8104.696702795
23,8104.69777262,8104.699520671,8104.700451791,8104.700455632,8104.700551804,8104.703285521,8118.340088452,8118.340375149,8118.340391911
24,8118.341438898,8118.343241354,8118.344208862,8118.3442141,8118.344339604,8118.347012211,8131.928945038,8131.929253525,8131.929297036
25,8131.930359179,8131.932208359,8131.933189416,8131.933193746,8131.93331918,8131.936100669,8145.593240116,8145.593549721,8145.593565994
26,8145.594615774,8145.596018531,8145.597468431,8145.59747325,8145.59756956,8145.600209551,8159.156853715,8159.157163949,8159.157179593
27,8159.158191729,8159.159654479,8159.161065966,8159.161070157,8159.161178969,8159.16367376,8172.762580468,8172.762864022,8172.762881622
28,8172.76398518,8172.76575984,8172.766758636,8172.766763316,8172.766859696,8172.76943669,8186.379195295,8186.379478919,8186.379495192
29,8186.380990209,8186.382437524,8186.383877576,8186.383881836,8186.384005595,8186.386547319,8199.968325588,8199.968612285,8199.968629117
30,8199.969671145,8199.971581855,8199.972543915,8199.972548175,8199.972645394,8199.975348591,8213.707066927,8213.70735104,8213.707367383
31,8213.708373932,8213.709800365,8213.711274848,8213.711279597,8213.71139714,8213.71378235,8227.352526233,8227.352815864,8227.352832416
32,8227.353851187,8227.35531282,8227.356748262,8227.356753081,8227.356866852,8227.359330633,8241.019550279,8241.019847871,8241.019864354
33,8241.02097734,8241.022448611,8241.023858143,8241.023862892,8241.023979806,8241.026381848,8254.669453638,8254.669745644,8254.669761288
34,8254.67081016,8254.672572249,8254.673549325,8254.673553585,8254.673649687,8254.676321245,8268.304238583,8268.3045301,8268.304546373
35,8268.3058304,8268.307244331,8268.30869018,8268.308694999,8268.308793754,8268.311340507,8281.907451968,8281.907738246,8281.907754589
36,8281.908811074,8281.910382217,8281.911849297,8281.911854047,8281.911950846,8281.914426361,8295.534275596,8295.534559569,8295.534576261
37,8295.535597895,8295.53697977,8295.538428622,8295.538433441,8295.538547002,8295.541052549,8309.096492793,8309.096780678,8309.096797649
38,8309.097892337,8309.099289577,8309.100776981,8309.100781311,8309.100890402,8309.103420044,8322.643342244,8322.643624681,8322.643642281
39,8322.645094904,8322.646333255,8322.647309283,8322.647314102,8322.647413626,8322.650044886,8336.123942534,8336.124241174,8336.124257866
40,8336.12526197,8336.127187976,8336.128147452,8336.128152201,8336.128250188,8336.130764045,8349.68023428,8349.680528311,8349.680545212
41,8349.681664903,8349.683600896,8349.684592988,8349.684597737,8349.684694537,8349.687294508,8363.258937798,8363.259263956,8363.259280508
42,8363.260286568,8363.26174422,8363.263208507,8363.263212837,8363.263310893,8363.2657811,8376.838703249,8376.839008943,8376.839025286
43,8376.840062146,8376.842009942,8376.843052738,8376.843056998,8376.843156382,8376.84573156,8390.422717897,8390.423024639,8390.423041401
44,8390.424066527,8390.425873873,8390.426911361,8390.426916041,8390.427047342,8390.429683561,8404.028234149,8404.028526644,8404.028542777
45,8404.029675668,8404.031144564,8404.032593137,8404.032597816,8404.032693847,8404.035247095,8417.56446141,8417.564742381,8417.564758584
46,8417.565919062,8417.567790732,8417.568737706,8417.568742385,8417.568838696,8417.571470864,8431.208765825,8431.209083532,8431.209100783
47,8431.210111382,8431.211523568,8431.213028502,8431.213037092,8431.213149117,8431.215674009,8444.750714811,8444.751019598,8444.751036359
48,8444.752065048,8444.753916603,8444.754874472,8444.754878663,8444.75499418,8444.75755071,8458.276054976,8458.276338879,8458.276355152
49,8458.277378183,8458.279075669,8458.280124891,8458.280129221,8458.280227976,8458.282638679,8471.891666607,8471.891951907,8471.891991018
50,8471.892992119,8471.894393479,8471.895879975,8471.895884305,8471.89600534,8471.898556353,8485.417972532,8485.418266493,8485.418284023
51,8485.419290502,8485.420683411,8485.422193653,8485.422197984,8485.422296739,8485.424831968,8498.893292981,8498.89360112,8498.893618301
52,8498.894648176,8498.896480385,8498.89744915,8498.897453969,8498.897578705,8498.900280365,8512.448340999,8512.448628953,8512.448646483
53,8512.449675521,8512.451664034,8512.452651377,8512.452656126,8512.452769268,8512.455464084,8526.127437134,8526.12773305,8526.127748136
54,8526.128881726,8526.130310743,8526.131833067,8526.131837746,8526.131933638,8526.13447613,8539.771711797,8539.772024545,8539.772042145
55,8539.773374921,8539.77485108,8539.77637976,8539.77638444,8539.776481728,8539.779012138,8553.370151757,8553.370505711,8553.37052366
56,8553.371541593,8553.372913829,8553.374461925,8553.374466744,8553.374564801,8553.377159884,8566.949399965,8566.949689317,8566.94970545
57,8566.950746291,8566.952178101,8566.953613823,8566.953618153,8566.953714813,8566.956286778,8580.533059193,8580.533351687,8580.533368239
58,8580.534412781,8580.535937131,8580.537498218,8580.537503037,8580.537602351,8580.540156716,8594.094544177,8594.09483283,8594.094849731
