,"Starting ""Step""",Created knownStepMatrix,Created unknownStepMatrix,"Started ""Compute""",Reshaped Wave Function,Matrix Multiplication,Solved For Independant Terms and Reshaped,"Appended Wave Function and Finished ""Compute""","Computed and Finished ""Step"""
0,10206.390136552,10206.390503916,10206.390822391,10206.390825673,10206.390857171,10206.392214672,10219.624397406,10219.624695208,10219.624714135
1,10219.625829356,10219.627348189,10219.628820927,10219.628825187,10219.628922546,10219.631421807,10233.153060207,10233.153350327,10233.153369742
2,10233.154473091,10233.156408316,10233.157390072,10233.157394751,10233.157494624,10233.160196494,10246.660078644,10246.660366738,10246.660386364
3,10246.661539649,10246.663366271,10246.664434839,10246.664439169,10246.664536527,10246.667083839,10260.075294817,10260.07558326,10260.075601419
4,10260.076723834,10260.078659688,10260.079630408,10260.079635158,10260.07973098,10260.082333326,10273.608665672,10273.608973252,10273.608993925
5,10273.610115083,10273.612040181,10273.613106654,10273.613111473,10273.613213161,10273.615750835,10287.123498343,10287.123782386,10287.123802431
6,10287.124936719,10287.126982293,10287.127946309,10287.12795022,10287.128091718,10287.130635118,10300.663712013,10300.664023364,10300.664043408
7,10300.665141868,10300.666658815,10300.668176391,10300.668180162,10300.66834373,10300.670981067,10314.266863068,10314.267188736,10314.26720913
8,10314.268335805,10314.270194485,10314.2712157,10314.271220938,10314.271320113,10314.273762174,10327.844969199,10327.84525408,10327.845274264
9,10327.84644054,10327.848350622,10327.849371279,10327.849375679,10327.849470872,10327.851935632,10341.546522426,10341.546808215,10341.546827002
10,10341.547902135,10341.549919982,10341.550930861,10341.550935611,10341.551060137,10341.553582306,10355.024566263,10355.024854916,10355.024875449
11,10355.025974258,10355.027433796,10355.028902414,10355.028906674,10355.029023029,10355.0314785,10368.577039758,10368.577321776,10368.577340912
12,10368.578512286,10368.580519238,10368.581533889,10368.581538079,10368.581633761,10368.584256921,10382.158064546,10382.158345516,10382.158365002
13,10382.159502642,10382.161413702,10382.162496378,10382.162500778,10382.162598556,10382.165112623,10395.56580668,10395.56611419,10395.566133676
14,10395.567246872,10395.569187405,10395.570228107,10395.570232507,10395.57033203,10395.57276166,10409.114387865,10409.114672467,10409.114690975
15,10409.115775955,10409.117884176,10409.118828706,10409.118832548,10409.118928859,10409.121484551,10422.514412426,10422.514699123,10422.514718329
16,10422.515844167,10422.517735602,10422.518735097,10422.518739776,10422.518838182,10422.52151442,10435.957932375,10435.958238698,10435.958258742
17,10435.959337018,10435.960890212,10435.962374195,10435.962378455,10435.962476442,10435.964988205,10449.460673747,10449.460981606,10449.461000813
18,10449.462078669,10449.463584582,10449.46511857,10449.4651229,10449.4652329,10449.467634873,10462.930238115,10462.930522997,10462.930542902
19,10462.931736624,10462.933295616,10462.934803693,10462.934808512,10462.934906988,10462.93735785,10476.435612564,10476.435892278,10476.435911344
20,10476.437035087,10476.438919956,10476.439891515,10476.439896194,10476.440013667,10476.442576833,10489.92884969,10489.92916174,10489.929180876
21,10489.93061995,10489.932468084,10489.93350641,10489.933511579,10489.93360761,10489.936071183,10503.530983999,10503.531267554,10503.531286201
22,10503.532476781,10503.534376946,10503.535430079,10503.535435387,10503.535579679,10503.538064553,10517.138650486,10517.138930479,10517.138949057
23,10517.14002824,10517.141681936,10517.143131347,10517.143135677,10517.143235829,10517.145680266,10530.716476066,10530.716774357,10530.716793074
24,10530.717859966,10530.719430691,10530.720878495,10530.720883733,10530.721018876,10530.723474905,10544.199281944,10544.199561518,10544.199580166
25,10544.200685609,10544.202203814,10544.2038265,10544.20383125,10544.203930284,10544.206507628,10557.828834097,10557.82914014,10557.829159137
26,10557.830314307,10557.832229768,10557.833276196,10557.833280456,10557.8334237,10557.835858987,10571.359281127,10571.359563215,10571.359582491
27,10571.360686608,10571.36271535,10571.363746692,10571.363751442,10571.3638488,10571.36647594,10584.916055712,10584.916345272,10584.916364199
