,stairwellVsTunnel30::Probabilities::Post,stairwellVsTunnel30::Probabilities::3rdStair,stairwellVsTunnel30::Probabilities::2ndStair,stairwellVsTunnel30::Probabilities::1stStair,stairwellVsTunnel30::Probabilities::Pre,stairwellVsTunnel30::FrameCount,stairwellVsTunnel30::SpaceStep,stairwellVsTunnel30::TimeStep,stairwellVsTunnel30::PointCount,stairwellVsTunnel30::RegionLength::Post,stairwellVsTunnel30::RegionLength::3rdStair,stairwellVsTunnel30::RegionLength::2ndStair,stairwellVsTunnel30::RegionLength::1stStair,stairwellVsTunnel30::RegionLength::Pre,stairwellVsTunnel31::Probabilities::Post,stairwellVsTunnel31::Probabilities::3rdStair,stairwellVsTunnel31::Probabilities::2ndStair,stairwellVsTunnel31::Probabilities::1stStair,stairwellVsTunnel31::Probabilities::Pre,stairwellVsTunnel31::FrameCount,stairwellVsTunnel31::SpaceStep,stairwellVsTunnel31::TimeStep,stairwellVsTunnel31::PointCount,stairwellVsTunnel31::RegionLength::Post,stairwellVsTunnel31::RegionLength::3rdStair,stairwellVsTunnel31::RegionLength::2ndStair,stairwellVsTunnel31::RegionLength::1stStair,stairwellVsTunnel31::RegionLength::Pre,stairwellVsTunnel32::Probabilities::Post,stairwellVsTunnel32::Probabilities::3rdStair,stairwellVsTunnel32::Probabilities::2ndStair,stairwellVsTunnel32::Probabilities::1stStair,stairwellVsTunnel32::Probabilities::Pre,stairwellVsTunnel32::FrameCount,stairwellVsTunnel32::SpaceStep,stairwellVsTunnel32::TimeStep,stairwellVsTunnel32::PointCount,stairwellVsTunnel32::RegionLength::Post,stairwellVsTunnel32::RegionLength::3rdStair,stairwellVsTunnel32::RegionLength::2ndStair,stairwellVsTunnel32::RegionLength::1stStair,stairwellVsTunnel32::RegionLength::Pre,stairwellVsTunnel33::Probabilities::Post,stairwellVsTunnel33::Probabilities::3rdStair,stairwellVsTunnel33::Probabilities::2ndStair,stairwellVsTunnel33::Probabilities::1stStair,stairwellVsTunnel33::Probabilities::Pre,stairwellVsTunnel33::FrameCount,stairwellVsTunnel33::SpaceStep,stairwellVsTunnel33::TimeStep,stairwellVsTunnel33::PointCount,stairwellVsTunnel33::RegionLength::Post,stairwellVsTunnel33::RegionLength::3rdStair,stairwellVsTunnel33::RegionLength::2ndStair,stairwellVsTunnel33::RegionLength::1stStair,stairwellVsTunnel33::RegionLength::Pre,stairwellVsTunnel34::Probabilities::Post,stairwellVsTunnel34::Probabilities::3rdStair,stairwellVsTunnel34::Probabilities::2ndStair,stairwellVsTunnel34::Probabilities::1stStair,stairwellVsTunnel34::Probabilities::Pre,stairwellVsTunnel34::FrameCount,stairwellVsTunnel34::SpaceStep,stairwellVsTunnel34::TimeStep,stairwellVsTunnel34::PointCount,stairwellVsTunnel34::RegionLength::Post,stairwellVsTunnel34::RegionLength::3rdStair,stairwellVsTunnel34::RegionLength::2ndStair,stairwellVsTunnel34::RegionLength::1stStair,stairwellVsTunnel34::RegionLength::Pre,stairwellVsTunnel35::Probabilities::Post,stairwellVsTunnel35::Probabilities::3rdStair,stairwellVsTunnel35::Probabilities::2ndStair,stairwellVsTunnel35::Probabilities::1stStair,stairwellVsTunnel35::Probabilities::Pre,stairwellVsTunnel35::FrameCount,stairwellVsTunnel35::SpaceStep,stairwellVsTunnel35::TimeStep,stairwellVsTunnel35::PointCount,stairwellVsTunnel35::RegionLength::Post,stairwellVsTunnel35::RegionLength::3rdStair,stairwellVsTunnel35::RegionLength::2ndStair,stairwellVsTunnel35::RegionLength::1stStair,stairwellVsTunnel35::RegionLength::Pre
417,8.807727551840937e-10,0.022151758491177613,0.6948381575071019,0.07195645697668962,0.21105362614425824,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,9.587860615009957e-10,0.02220497572308665,0.792493007803315,0.0987786701655556,0.08652334534925644,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,1.2600129636773404e-09,0.0201521318412472,0.8420686964662394,0.047362463296723986,0.09041670713577617,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,1.6447032841292176e-09,0.02668792743404681,0.7836442506413563,0.029658113342009677,0.16000970693788374,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,7.665011223951085e-10,0.022504516964526232,0.7335177798180319,0.023064747842272207,0.22091295460866858,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,3.4680081618138844e-10,0.009140813142779291,0.8917023017471084,0.09807696228147378,0.0010799224818372924,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004
418,1.0861271816139842e-09,0.02391986339062166,0.6938534277478106,0.07105880933125086,0.21116789844418948,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,1.1818265432139562e-09,0.023948841830239764,0.7921419449056236,0.09729478993171453,0.08661442215059494,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,1.5506535617354284e-09,0.021762237248967017,0.8427274233706323,0.04507875914296687,0.09043157868678019,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,2.026533144363706e-09,0.028780318413401406,0.78309226251636,0.02807883755555062,0.1600485794881547,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,9.462141826938787e-10,0.024353743659096736,0.7328653893723415,0.021780829796528872,0.22100003622581868,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,4.266211889678763e-10,0.009923854015026127,0.8948882376014633,0.09411528905548727,0.0010726189014020394,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004
419,1.3377831462448485e-09,0.025801246966239002,0.6927137004362277,0.07018817013954429,0.2112968811202057,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,1.45504769658043e-09,0.02580278731790127,0.7916150894305566,0.09586538210940838,0.08671673968708571,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,1.905973194624886e-09,0.023476036535249357,0.8431825015817956,0.04289602829096173,0.09044543168602015,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,2.493946416667535e-09,0.03100277171439162,0.7823357545138246,0.026578125072109274,0.1600833462057279,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,1.1666969616894174e-09,0.02632586439608829,0.7320333357383078,0.0205660248909703,0.2210747738079366,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,5.24178754703126e-10,0.010763077134909028,0.8978837500727376,0.09028855724762869,0.001064615020546223,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004
420,1.6458121986727726e-09,0.027800753866469765,0.6914188899512865,0.06934356037169807,0.21143679416473338,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,1.789347912354316e-09,0.027771588558356736,0.7909162344876144,0.09448555826768353,0.08682661689699737,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,2.3398259948824434e-09,0.02529815119024532,0.843437628112569,0.04080637618458875,0.09045784217277056,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,3.0653610621108194e-09,0.03335991216463467,0.7813594591767645,0.025151510660568484,0.16012911493267087,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,1.4368557015380032e-09,0.02842599377305423,0.7310096482533696,0.019414322583556173,0.22115003395316438,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,6.432682802484627e-10,0.011661528413745566,0.9006900720242778,0.0865914964889349,0.0010569024297734243,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004
421,2.022380628867396e-09,0.029923059213045673,0.6899643677506261,0.06852460415452034,0.2115879668594274,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,2.1978964072281293e-09,0.02985995490670187,0.7900455987813678,0.09315071520153177,0.08694372891250181,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,2.868901105233979e-09,0.02723313464042129,0.8434922244410306,0.038806659855349805,0.09046797819429717,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,3.763059548255802e-09,0.035857004839526085,0.7801663963249083,0.02379808157330359,0.16017851349920229,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,1.7674679478255267e-09,0.03065930948970899,0.7297861418881877,0.018322315916808628,0.22123223093782649,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,7.884634337612924e-10,0.01262233696106206,0.9033075233144591,0.08302094365369572,0.0010491952823193497,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004
422,2.4821686717603077e-09,0.032172724325407964,0.688343948588582,0.0677305281814225,0.21175279642241873,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,2.6965841271163816e-09,0.032072509444563135,0.7890004521045445,0.09185684872936592,0.08707018702494206,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,3.513280465029602e-09,0.029285520240122077,0.8433442014055991,0.036890482787426154,0.09047979205357226,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,4.613961930235942e-09,0.03849974876089911,0.7787684346446696,0.022512378502633913,0.16021943347783554,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,2.1716067844711617e-09,0.03303174675501014,0.7283730817007809,0.017285540564986608,0.22130962880761512,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,9.652680423035335e-10,0.013648690469409606,0.9057341750598884,0.07957298556334805,0.0010441479420857235,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004
423,3.0428784119854774e-09,0.03455433024463943,0.6865534285931579,0.06695836307985897,0.21193387503946545,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,3.3045592292186027e-09,0.03441376767991007,0.7877756349198725,0.09060066821438141,0.08720992588127686,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,4.297085239258443e-09,0.03145973554502648,0.8429882485598381,0.03505451759910505,0.0904974939989449,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,5.650379941637445e-09,0.04129290035892918,0.7771576829283743,0.02129176042612991,0.16025765063618708,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,2.66504437312326e-09,0.03554891854213129,0.7267709437812219,0.016299832855196844,0.2213803021564056,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,1.1803017648875448e-09,0.014743899065901244,0.9079707604763336,0.07624538058664194,0.0010399586908215177,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004
424,3.7258338433654545e-09,0.037072498655946196,0.6845906663618376,0.0662031015437567,0.2121337297126255,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,4.044852927040758e-09,0.03688803211156065,0.7863623081673988,0.08937938698161213,0.0873702686945753,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,5.249288769853363e-09,0.03376036748565443,0.8424237540526501,0.033298061795168005,0.09051781141723843,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,6.911060143809686e-09,0.044240574148997444,0.7753184950445449,0.02013297422817097,0.1603079496672266,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,3.2667381934843745e-09,0.03821561609643155,0.7249641935577679,0.015363672218960652,0.22145651486010165,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,1.4415078519834458e-09,0.015911289669630214,0.9100141312557791,0.07303843368435921,0.0010361439487232699,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004
425,4.556694285361027e-09,0.039731893199530605,0.682455213257245,0.06546021250401182,0.21235267648251846,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,4.945204395894466e-09,0.03950000534108487,0.7847617566210037,0.08819215028989781,0.08754608280280898,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,6.404655868348484e-09,0.036192158504560736,0.8416535588384764,0.031619316034311264,0.09053496021799572,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,8.442658543114743e-09,0.04734780194499294,0.7732561781493564,0.019030961895729077,0.1603650495672629,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,3.999527515544624e-09,0.04103682677705975,0.722945078855819,0.01447439308600299,0.22154369728159057,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,1.7584127533137672e-09,0.017154283798264666,0.9118632466260205,0.06994981451080622,0.0010326533064961743,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004
426,5.566297800811364e-09,0.0425371793439365,0.6801473598536245,0.06472718682807542,0.21258826840806574,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,6.03893598236681e-09,0.042254343033176905,0.7829743460824737,0.08703852009682157,0.08773278474859171,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,7.804763490543041e-09,0.038759538721878255,0.8406730459905453,0.030020884847444692,0.0905465226353681,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,1.030123750565986e-08,0.05062003134723121,0.7709830967003016,0.01798658147951012,0.16041028017171957,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,4.890966111411764e-09,0.04401830051253609,0.720721020648028,0.013631312680841426,0.22162936126762817,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004,2.1424256489110364e-09,0.018476373957935027,0.913517996246123,0.06697930658524258,0.001026321068273839,700,0.05,0.0006250000000000001,400,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.30000000000000004
