,tunnelSteppingTest20::Probabilities::PostRegion,tunnelSteppingTest20::Probabilities::IntraRegion,tunnelSteppingTest20::Probabilities::PreRegion,tunnelSteppingTest20::FrameCount,tunnelSteppingTest20::SpaceStep,tunnelSteppingTest20::TimeStep,tunnelSteppingTest20::PointCount,tunnelSteppingTest20::RegionLength::PostRegion,tunnelSteppingTest20::RegionLength::IntraRegion,tunnelSteppingTest20::RegionLength::PreRegion,tunnelSteppingTest21::Probabilities::PostRegion,tunnelSteppingTest21::Probabilities::IntraRegion,tunnelSteppingTest21::Probabilities::PreRegion,tunnelSteppingTest21::FrameCount,tunnelSteppingTest21::SpaceStep,tunnelSteppingTest21::TimeStep,tunnelSteppingTest21::PointCount,tunnelSteppingTest21::RegionLength::PostRegion,tunnelSteppingTest21::RegionLength::IntraRegion,tunnelSteppingTest21::RegionLength::PreRegion,tunnelSteppingTest22::Probabilities::PostRegion,tunnelSteppingTest22::Probabilities::IntraRegion,tunnelSteppingTest22::Probabilities::PreRegion,tunnelSteppingTest22::FrameCount,tunnelSteppingTest22::SpaceStep,tunnelSteppingTest22::TimeStep,tunnelSteppingTest22::PointCount,tunnelSteppingTest22::RegionLength::PostRegion,tunnelSteppingTest22::RegionLength::IntraRegion,tunnelSteppingTest22::RegionLength::PreRegion
0,7.462718286493536e-20,3.3520719437609636e-05,0.9999664792805621,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,7.462718286493536e-20,3.3520719437609636e-05,0.9999664792805621,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,7.462718286493536e-20,3.3520719437609636e-05,0.9999664792805621,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
1,1.4136913721333024e-19,4.658642553119795e-05,0.9999534135744687,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,1.7642510127804474e-19,4.658618237913428e-05,0.9999534138176208,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,1.7713311532804353e-19,4.6112531704126537e-05,0.9999538874682955,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
2,2.524400951286113e-19,6.441297632422433e-05,0.9999355870236758,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,4.3182548154121325e-19,6.441297328157284e-05,0.9999355870267183,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,4.377669956947022e-19,6.49712365236632e-05,0.9999350287634764,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
3,5.207151828509467e-19,8.857768180256409e-05,0.9999114223181974,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,1.1825224124061491e-18,8.85783601244412e-05,0.9999114216398756,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,1.1163979958004253e-18,9.11439013427389e-05,0.9999088560986574,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
4,1.073967126838097e-18,0.00012111408424826939,0.9998788859157516,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,3.764541648846059e-18,0.00012111592373360142,0.9998788840762666,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,2.9023453122901868e-18,0.00012611131193524918,0.9998738886880646,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
5,1.654366640278749e-18,0.00016462263662424357,0.9998353773633758,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,1.1820428450519952e-17,0.00016462620851715064,0.9998353737914829,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,7.598789591064848e-18,0.0001719654940779959,0.9998280345059221,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
6,5.756125024790955e-18,0.00022240001277631425,0.9997775999872234,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,3.29190423682445e-17,0.00022240599024525356,0.999777594009755,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,1.976700505163458e-17,0.0002315892162843528,0.9997684107837157,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
7,2.9016266895720684e-17,0.0002985886496151633,0.999701411350385,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,8.033073464184142e-17,0.0002985977620639092,0.999701402237936,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,5.0175135051039846e-17,0.0003088115840151389,0.9996911884159849,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
8,1.0799296294830683e-16,0.0003983481287960433,0.9996016518712036,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,1.7436018725074283e-16,0.0003983610477989102,0.9996016389522012,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,1.2194735488148777e-16,0.0004085384550141556,0.9995914615449857,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
9,3.3300417455254106e-16,0.0005280485137617049,0.9994719514862382,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,3.4365759664126627e-16,0.0005280656482486888,0.999471934351751,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,2.821258848734595e-16,0.0005368703056012421,0.9994631296943983,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
