,Started Simulation,Generated Initial Potential,Generated Next Initial Potential,"Starting ""Step""",Created knownStepMatrix,Created unknownStepMatrix,"Started ""Compute""",Reshaped Wave Function,Matrix Multiplication,Solved For Independant Terms and Reshaped,"Appended Wave Function and Finished ""Compute""","Computed and Finished ""Step"""
0,[87467.986430326],[87467.988907028],[87467.988914082],"[87467.988977568, 87470.199665812, 87472.029056094, 87473.84558187, 87475.639723668, 87477.429098886, 87479.216333897, 87480.9863158, 87483.165216183, 87485.083130518, 87487.257957074, 87489.413642302, 87491.341506398, 87493.567356151, 87495.877867747, 87498.337096509, 87501.056419519, 87503.819856632, 87505.772870341, 87508.216218093, 87510.636939309, 87512.955380725, 87516.957919912, 87519.054986873, 87521.500097133, 87524.394937473, 87529.51296341, 87532.145195784, 87535.280285814, 87539.36207696, 87542.053861376, 87544.350414756, 87546.36226729, 87548.809913058, 87552.324285578, 87554.307521033, 87556.870199153, 87559.041941949, 87561.141999851, 87563.711710613, 87566.532457801, 87569.68085974, 87572.623345485, 87574.786887338, 87577.006798159, 87579.492333659, 87581.750875225, 87584.080434913, 87586.366952557, 87589.51386723, 87592.806506242, 87594.982691416, 87599.493458335, 87602.460918182, 87604.552194553, 87607.154867623, 87610.743662107, 87613.941447444, 87617.260175429]","[87467.993475469, 87470.201832141, 87472.03121055, 87473.84777397, 87475.641870162, 87477.431259768, 87479.218454549, 87480.988519284, 87483.167766428, 87485.085535284, 87487.260029048, 87489.415920376, 87491.344107976, 87493.569563057, 87495.880056216, 87498.339193416, 87501.058537239, 87503.822204897, 87505.775137799, 87508.218156949, 87510.639036426, 87512.957556622, 87516.960030438, 87519.057052491, 87521.502191944, 87524.397125243, 87529.515662695, 87532.147974549, 87535.282388378, 87539.364246572, 87542.055905693, 87544.352431346, 87546.364370342, 87548.812020162, 87552.326285127, 87554.309495159, 87556.872345508, 87559.04392271, 87561.144017069, 87563.713823583, 87566.534416702, 87569.682876399, 87572.625282106, 87574.789215768, 87577.008890247, 87579.494387474, 87581.752982957, 87584.082699228, 87586.36889295, 87589.516744681, 87592.8085764, 87594.984755637, 87599.495985044, 87602.463035482, 87604.554224552, 87607.157736134, 87610.745856162, 87613.943502795, 87617.262483675]","[87467.9969062, 87470.204520042, 87472.03266478, 87473.849239235, 87475.643244913, 87477.432700029, 87479.219881122, 87480.989880137, 87483.169372841, 87485.086944536, 87487.261449405, 87489.417290937, 87491.345564232, 87493.571279749, 87495.881641746, 87498.340494764, 87501.059869805, 87503.823847139, 87505.77652149, 87508.219430849, 87510.640544014, 87512.958904973, 87516.961346942, 87519.058336308, 87521.503550631, 87524.398637371, 87529.51749693, 87532.149896853, 87535.28397328, 87539.365581652, 87542.057195377, 87544.353710065, 87546.365676789, 87548.813349096, 87552.327582004, 87554.310793085, 87556.873642036, 87559.045233696, 87561.14533916, 87563.715266988, 87566.535853402, 87569.684254851, 87572.626576889, 87574.791032054, 87577.010165195, 87579.495662143, 87581.754548234, 87584.083935973, 87586.370666982, 87589.518754426, 87592.810003252, 87594.986104826, 87599.497578886, 87602.464363649, 87604.555505506, 87607.159228357, 87610.747390151, 87613.944791711, 87617.263819384]","[87467.99691053, 87470.204523325, 87472.03266904, 87473.849243146, 87475.643248195, 87477.432703801, 87479.219889782, 87480.989883419, 87483.169376263, 87485.086947889, 87487.261453246, 87489.417294848, 87491.345567514, 87493.571283172, 87495.881646007, 87498.340498116, 87501.059872739, 87503.82385098, 87505.776524842, 87508.219433783, 87510.640548414, 87512.958908744, 87516.961350783, 87519.058339661, 87521.503553565, 87524.398641212, 87529.517499793, 87532.149901113, 87535.283977122, 87539.365584516, 87542.057198729, 87544.353712998, 87546.365688662, 87548.813352379, 87552.327585287, 87554.310796437, 87556.873645389, 87559.045237537, 87561.145342442, 87563.71527935, 87566.535856754, 87569.684259112, 87572.626580591, 87574.791035476, 87577.010168617, 87579.495665984, 87581.754551587, 87584.083939814, 87586.370671801, 87589.518758826, 87592.810006604, 87594.986108667, 87599.497582727, 87602.464367001, 87604.555509837, 87607.159232687, 87610.747394481, 87613.944794994, 87617.263822667]","[87467.997164332, 87470.204693946, 87472.032801738, 87473.84939065, 87475.643428734, 87477.432846416, 87479.220025274, 87480.990025685, 87483.169531311, 87485.087108383, 87487.261609271, 87489.41742126, 87491.345733317, 87493.571523914, 87495.881788203, 87498.340624808, 87501.059994891, 87503.82399604, 87505.776656841, 87508.219585757, 87510.640680483, 87512.959052547, 87516.961484947, 87519.058468238, 87521.503693177, 87524.398770767, 87529.517693532, 87532.150135779, 87535.284167648, 87539.365706528, 87542.057335688, 87544.353837036, 87546.365836515, 87548.813472785, 87552.327728531, 87554.310956722, 87556.873771172, 87559.045436025, 87561.145464524, 87563.715470225, 87566.536022766, 87569.684416394, 87572.626730609, 87574.791249399, 87577.010303061, 87579.495798542, 87581.754739599, 87584.084075935, 87586.370855902, 87589.518961644, 87592.810167169, 87594.986228375, 87599.497727088, 87602.464499559, 87604.555657131, 87607.159398699, 87610.74753549, 87613.944907577, 87617.263977295]","[87468.000343845, 87470.205766984, 87472.033896426, 87473.850530036, 87475.644476629, 87477.433968202, 87479.221161867, 87480.9912009, 87483.171050842, 87485.088127713, 87487.262613794, 87489.418421942, 87491.34674685, 87493.573693106, 87495.883018522, 87498.341642042, 87501.060999623, 87503.825504536, 87505.777699498, 87508.220602712, 87510.641806251, 87512.960041356, 87516.962490868, 87519.059454533, 87521.504707269, 87524.399741976, 87529.518746595, 87532.152078477, 87535.285186908, 87539.3668082, 87542.05836682, 87544.354780378, 87546.366763794, 87548.814378274, 87552.328711893, 87554.311923811, 87556.874804261, 87559.046462898, 87561.146492375, 87563.716472793, 87566.537020655, 87569.68537999, 87572.627746447, 87574.793000523, 87577.0112918, 87579.496809212, 87581.756042273, 87584.085112375, 87586.372084196, 87589.520445696, 87592.811244956, 87594.987291565, 87599.498818494, 87602.465407982, 87604.556621077, 87607.160310124, 87610.748670825, 87613.945874457, 87617.264921406]","[87470.198391842, 87472.028116034, 87473.844643765, 87475.638698053, 87477.428131798, 87479.215379589, 87480.985356673, 87483.164243786, 87485.081874637, 87487.256907224, 87489.412718026, 87491.340580725, 87493.566184777, 87495.876837941, 87498.336005732, 87501.055463465, 87503.818906166, 87505.77195263, 87508.215150154, 87510.636008328, 87512.954378088, 87516.956900932, 87519.05391174, 87521.499280831, 87524.393898099, 87529.511915864, 87532.143920347, 87535.279220389, 87539.361069084, 87542.052871659, 87544.349523794, 87546.361405521, 87548.809030686, 87552.323369404, 87554.306535716, 87556.869337106, 87559.040964524, 87561.141180965, 87563.710630382, 87566.531365627, 87569.679971222, 87572.622468351, 87574.785784549, 87577.005915997, 87579.491340101, 87581.749914073, 87584.079322206, 87586.36602842, 87589.511927117, 87592.805450246, 87594.981782365, 87599.49247239, 87602.459497476, 87604.551234868, 87607.153652669, 87610.742780154, 87613.940524215, 87617.259193604, 87619.498721092]","[87470.198762907, 87472.028506306, 87473.845011897, 87475.639097613, 87477.428528844, 87479.215758267, 87480.985761612, 87483.164653753, 87485.082313378, 87487.257334791, 87489.413114863, 87491.340969111, 87493.566716686, 87495.877205934, 87498.336403197, 87501.055842912, 87503.81934358, 87505.772341784, 87508.215609917, 87510.636380092, 87512.954791896, 87516.957281845, 87519.05426758, 87521.49960182, 87524.394291583, 87529.51238352, 87532.144448974, 87535.279608356, 87539.361420524, 87542.05320068, 87544.349889132, 87546.361766041, 87548.809399936, 87552.323743402, 87554.3069776, 87556.869683657, 87559.041391811, 87561.141533592, 87563.711016812, 87566.531759251, 87569.68035018, 87572.62284661, 87574.786184807, 87577.006295723, 87579.491714798, 87581.750302738, 87584.079656534, 87586.36641534, 87589.513049322, 87592.805899394, 87594.98212745, 87599.492887525, 87602.459896338, 87604.551628771, 87607.154136457, 87610.743130826, 87613.940941236, 87617.259614326, 87619.499081402]","[87470.198768634, 87472.028511544, 87473.845016227, 87475.639102432, 87477.428533663, 87479.215763645, 87480.98576685, 87483.164658922, 87485.082319105, 87487.25733961, 87489.413119961, 87491.340974768, 87493.566722483, 87495.877210264, 87498.336407877, 87501.055847312, 87503.819348748, 87505.772346603, 87508.215615574, 87510.636384911, 87512.954797553, 87516.957286594, 87519.054282945, 87521.499606569, 87524.394297729, 87529.512389735, 87532.14445505, 87535.279614013, 87539.361426321, 87542.053205499, 87544.349892485, 87546.361771209, 87548.809404266, 87552.32374864, 87554.306982908, 87556.869688476, 87559.041397119, 87561.14153883, 87563.711021073, 87566.53176442, 87569.680354999, 87572.622851918, 87574.786190884, 87577.006300472, 87579.491720036, 87581.750308046, 87584.079661284, 87586.366421206, 87589.513057005, 87592.805905679, 87594.982133177, 87599.492892693, 87602.459901157, 87604.551633101, 87607.154180248, 87610.743136134, 87613.940946544, 87617.259619704, 87619.499086081]"
1,[87624.872006951],[87624.873299638],[87624.873303829],"[87624.873335746, 87627.360699265, 87630.681466469, 87634.888452115, 87638.58086148, 87642.137999194, 87645.300610148, 87652.016440246, 87654.827758897, 87658.060903625, 87661.777543425, 87665.56972872, 87667.977789995, 87670.707774027, 87672.903682235, 87674.938501569, 87677.018673917, 87679.323808663, 87684.091328356, 87690.399337736, 87695.003845902, 87698.077516412, 87701.066257865, 87703.964853347, 87706.907069366, 87709.793409705, 87712.699311396, 87715.940847034, 87718.709887423, 87722.903876074, 87726.666830947, 87730.333157521, 87733.184596563, 87735.1053885, 87737.072861913, 87739.332721795, 87741.277734118, 87743.504494024, 87745.75835498, 87748.75460182, 87751.438175041, 87753.6319889, 87756.882805447, 87759.769834928, 87762.867140714, 87766.63030727, 87769.132843209, 87771.434374591, 87773.736309793, 87775.933840243, 87778.197806849, 87780.469455482, 87782.665644425, 87784.843138806, 87787.052648252, 87789.234473546, 87791.561887251, 87793.749469193, 87795.922515677]","[87624.875309593, 87627.363346729, 87630.684160656, 87634.890767135, 87638.583320722, 87642.141212859, 87645.303167168, 87652.019348077, 87654.830238323, 87658.063198392, 87661.780408513, 87665.571946452, 87667.980417693, 87670.710192901, 87672.906139731, 87674.940809396, 87677.021161514, 87679.326035614, 87684.09398895, 87690.402281954, 87695.006327005, 87698.079754816, 87701.069015817, 87703.967115777, 87706.909544043, 87709.795611792, 87712.701899285, 87715.943008544, 87718.712325713, 87722.906224967, 87726.669406195, 87730.335400117, 87733.18706286, 87735.107552455, 87737.075302648, 87739.33499603, 87741.280072047, 87743.506651065, 87745.760916261, 87748.756910415, 87751.440588329, 87753.634354277, 87756.885268741, 87759.771871562, 87762.869700458, 87766.632567536, 87769.135365868, 87771.436815536, 87773.738349431, 87775.936008598, 87778.199902779, 87780.47159185, 87782.667977046, 87784.845077174, 87787.0547101, 87789.236505152, 87791.563974032, 87793.751730088, 87795.924716857]","[87624.878690248, 87627.365878116, 87630.685948516, 87634.892769757, 87638.584808964, 87642.143921573, 87645.304913333, 87652.022687037, 87654.831774546, 87658.065226365, 87661.782557172, 87665.574153777, 87667.981896647, 87670.712608492, 87672.907617078, 87674.942928512, 87677.023037654, 87679.328091803, 87684.096152485, 87690.404978027, 87695.008027494, 87698.082373226, 87701.070688021, 87703.969106177, 87706.911326735, 87709.797823099, 87712.703947024, 87715.945371685, 87718.713779034, 87722.90847748, 87726.670961484, 87730.337855798, 87733.188874397, 87735.109814676, 87737.077042458, 87739.337073242, 87741.281493243, 87743.508679249, 87745.76270915, 87748.759552782, 87751.4421344, 87753.63640048, 87756.886635321, 87759.773999968, 87762.871487272, 87766.634702926, 87769.136925558, 87771.439248658, 87773.740663754, 87775.938148039, 87778.202005065, 87780.473614586, 87782.670467089, 87784.847148659, 87787.056781655, 87789.238502676, 87791.566050267, 87793.753896976, 87795.926728699]","[87624.878703168, 87627.365882866, 87630.68595138, 87634.892773668, 87638.584812247, 87642.143925344, 87645.304918012, 87652.022690389, 87654.831779295, 87658.065230696, 87661.782560943, 87665.57415713, 87667.981900488, 87670.712611845, 87672.907620431, 87674.942932284, 87677.023041984, 87679.328095575, 87684.096156745, 87690.404981868, 87695.008030846, 87698.082377556, 87701.070692351, 87703.969110507, 87706.911330576, 87709.797827359, 87712.703951354, 87715.945376015, 87718.713782876, 87722.908482578, 87726.670966164, 87730.337860478, 87733.188877749, 87735.109819425, 87737.077045322, 87739.337077083, 87741.281497014, 87743.508683649, 87745.7627139, 87748.759556553, 87751.442138172, 87753.636404251, 87756.886639581, 87759.77400381, 87762.871492021, 87766.634706767, 87769.136928841, 87771.439252499, 87773.740667456, 87775.938156071, 87778.202009395, 87780.473618008, 87782.670471838, 87784.847152431, 87787.056784938, 87789.238507355, 87791.566054108, 87793.753900817, 87795.92673247]","[87624.879061453, 87627.366041754, 87630.686134293, 87634.892938981, 87638.58496443, 87642.144152816, 87645.305107002, 87652.02285263, 87654.831904799, 87658.065379457, 87661.78276872, 87665.57430219, 87667.982028786, 87670.712795038, 87672.907741814, 87674.943049687, 87677.023264078, 87679.328294552, 87684.096408383, 87690.405241817, 87695.008180935, 87698.08252108, 87701.070812058, 87703.969281617, 87706.91144756, 87709.797995816, 87712.704191747, 87715.9455803, 87718.713918437, 87722.908712565, 87726.671136576, 87730.338449866, 87733.189102498, 87735.10999752, 87737.077322521, 87739.337217324, 87741.281682861, 87743.508810271, 87745.76287188, 87748.759794571, 87751.442308933, 87753.63652354, 87756.886747974, 87759.774174361, 87762.871667043, 87766.634881439, 87769.137050085, 87771.439403635, 87773.740945912, 87775.938283251, 87778.20220481, 87780.47373157, 87782.670594898, 87784.847299865, 87787.056961496, 87789.238633209, 87791.566173745, 87793.754096861, 87795.926888076]","[87624.880673383, 87627.367363356, 87630.687664929, 87634.894023403, 87638.586086077, 87642.145766493, 87645.306519048, 87652.024168644, 87654.832955418, 87658.06648951, 87661.784572923, 87665.575540261, 87667.983040852, 87670.714089192, 87672.908861017, 87674.944151987, 87677.024643858, 87679.32929677, 87684.098189957, 87690.408530141, 87695.009478301, 87698.083723602, 87701.071790182, 87703.97048854, 87706.912571232, 87709.799015075, 87712.706301854, 87715.946839534, 87718.715073957, 87722.910137322, 87726.672648145, 87730.340635821, 87733.190837419, 87735.111244881, 87737.079218845, 87739.338348051, 87741.282728801, 87743.509784274, 87745.764047584, 87748.761559035, 87751.443446574, 87753.637453124, 87756.887792587, 87759.775147317, 87762.872965737, 87766.635875627, 87769.138035333, 87771.440460121, 87773.742123991, 87775.939266753, 87778.203810595, 87780.474891909, 87782.672025173, 87784.848349995, 87787.058159898, 87789.23977937, 87791.567297907, 87793.755233664, 87795.928221621]","[87627.359806208, 87630.680462783, 87634.887482233, 87638.580037286, 87642.136837738, 87645.299683428, 87652.015381456, 87654.826698221, 87658.060034244, 87661.776546724, 87665.568855638, 87667.976874309, 87670.706878386, 87672.902383751, 87674.937623458, 87677.017745241, 87679.322895352, 87684.090346182, 87690.39790802, 87695.00286736, 87698.076661069, 87701.06535489, 87703.963687491, 87706.906252995, 87709.792499048, 87712.698425742, 87715.939844467, 87718.708922988, 87722.902805062, 87726.665837388, 87730.332118287, 87733.183701201, 87735.104119278, 87737.071463905, 87739.331798567, 87741.276374942, 87743.503624224, 87745.756525424, 87748.753609239, 87751.437305939, 87753.631065602, 87756.881769565, 87759.768961076, 87762.866141498, 87766.629403876, 87769.131790495, 87771.433477902, 87773.735293885, 87775.932952214, 87778.196863506, 87780.468452564, 87782.664756117, 87784.842200631, 87787.051338872, 87789.23356687, 87791.561001457, 87793.748305432, 87795.921524423, 87798.115718147]","[87627.360167426, 87630.680851449, 87634.887922999, 87638.580362117, 87642.137338079, 87645.30002488, 87652.01574023, 87654.827083744, 87658.060383379, 87661.776972125, 87665.569191992, 87667.9772254, 87670.707260486, 87672.902709559, 87674.937957717, 87677.018146617, 87679.323289185, 87684.090758035, 87690.398423307, 87695.003196101, 87698.076991068, 87701.065722883, 87703.964119667, 87706.906580549, 87709.792866551, 87712.698794433, 87715.940173488, 87718.70925613, 87722.903338089, 87726.666164803, 87730.332592368, 87733.184055365, 87735.104484687, 87737.071846983, 87739.332154966, 87741.276729665, 87743.503951988, 87745.756870858, 87748.754116704, 87751.43765703, 87753.631399023, 87756.882128408, 87759.76935072, 87762.866566341, 87766.629761741, 87769.132133066, 87771.433826059, 87773.735761262, 87775.93329262, 87778.19722682, 87780.46882349, 87782.66508856, 87784.842599284, 87787.051890128, 87789.233943941, 87791.561367215, 87793.748692351, 87795.921915673, 87798.116047657]","[87627.360172594, 87630.680857245, 87634.887929564, 87638.580367355, 87642.137344155, 87645.300030677, 87652.015746376, 87654.827090378, 87658.060388548, 87661.776980087, 87665.56919716, 87667.977230708, 87670.707266702, 87672.902713889, 87674.937962467, 87677.018153252, 87679.323295331, 87684.090765158, 87690.39843099, 87695.003200781, 87698.076996375, 87701.065730076, 87703.96412728, 87706.906586206, 87709.792872627, 87712.698801627, 87715.940178656, 87718.709261717, 87722.903342977, 87726.66617046, 87730.332598164, 87733.184062418, 87735.104490414, 87737.071853967, 87739.332160134, 87741.276735391, 87743.503957645, 87745.756876026, 87748.754123827, 87751.437663595, 87753.63140482, 87756.882134624, 87759.769356377, 87762.866574094, 87766.629768376, 87769.132138793, 87771.433831716, 87773.735767897, 87775.93329688, 87778.197232966, 87780.468829147, 87782.665094776, 87784.842605569, 87787.051895855, 87789.23394918, 87791.561373291, 87793.748698078, 87795.921920981, 87798.116051987]"
2,[87803.049800653],[87803.050945138],[87803.05094891],"[87803.050973284, 87805.166505037, 87807.324863879, 87809.450580273, 87811.557917925, 87813.704136577, 87815.980166199, 87818.122479898, 87820.269410649, 87822.395698273, 87824.576676464, 87826.801624065, 87828.949040561, 87831.158824064, 87833.293161706, 87835.407671126, 87837.517761842, 87839.650876917, 87841.779532501, 87843.900680312, 87846.096714628, 87848.286587146, 87850.781604767, 87852.894892737, 87855.015511852, 87857.172648685, 87859.267281692, 87861.447788875, 87863.596102479, 87865.71372255, 87867.873425063, 87870.011261113, 87872.158403134, 87874.265160617, 87876.453673679, 87878.588721815, 87880.722751947, 87882.873705473, 87885.033368316, 87887.175503572, 87889.330724525, 87891.545080871, 87893.697641858, 87895.856440698, 87898.006901635, 87900.170449317, 87902.331710544, 87904.51679497, 87906.76828573, 87908.91619677, 87911.134445567, 87913.297138255, 87915.894049773, 87918.508984611, 87920.834735191, 87922.708660852, 87925.078764757, 87927.198608706, 87929.131038117]","[87803.052826796, 87805.168680237, 87807.3269376, 87809.452722228, 87811.560131188, 87813.706210367, 87815.982439525, 87818.124602437, 87820.271654432, 87822.397907624, 87824.578925905, 87826.803827201, 87828.95138694, 87831.161047872, 87833.295480848, 87835.409845138, 87837.519991797, 87839.653053094, 87841.781657415, 87843.903573897, 87846.098874532, 87848.28867267, 87850.783634837, 87852.896964083, 87855.017660023, 87857.17478163, 87859.26948804, 87861.44991337, 87863.598208257, 87865.715860384, 87867.875729539, 87870.013263736, 87872.160655019, 87874.267159747, 87876.455790771, 87878.590982639, 87880.725079889, 87882.875810761, 87885.035511249, 87887.177682473, 87889.332769331, 87891.547246711, 87893.699769635, 87895.858508482, 87898.009352846, 87900.172539031, 87902.333779794, 87904.518874557, 87906.770661164, 87908.918495519, 87911.136525573, 87913.299448806, 87915.896181252, 87918.511780976, 87920.837220415, 87922.710820896, 87925.081083969, 87927.200843689, 87929.133281341]","[87803.054422524, 87805.170355235, 87807.328831968, 87809.454427886, 87811.561900611, 87813.707946755, 87815.984174446, 87818.1262972, 87820.273440128, 87822.399685079, 87824.580687925, 87826.805556395, 87828.953096091, 87831.162719588, 87833.29722834, 87835.411683214, 87837.521719944, 87839.654793533, 87841.783384165, 87843.905205244, 87846.100481085, 87848.290266024, 87850.785229867, 87852.898533132, 87855.019263922, 87857.176398869, 87859.271120505, 87861.451616584, 87863.599830525, 87865.717480557, 87867.8779083, 87870.014987133, 87872.162235522, 87874.268817564, 87876.45746514, 87878.592595828, 87880.726737915, 87882.87742814, 87885.037131771, 87887.179335052, 87889.334435879, 87891.548808357, 87893.701391205, 87895.860102115, 87898.011070866, 87900.174114017, 87902.33540297, 87904.52045925, 87906.772294676, 87908.920298954, 87911.138239891, 87913.301240998, 87915.898114871, 87918.513483282, 87920.838907774, 87922.712549811, 87925.082742554, 87927.202595093, 87929.135014587]","[87803.054425807, 87805.170358517, 87807.328835739, 87809.454431238, 87811.561903963, 87813.707950597, 87815.984178217, 87818.12630153, 87820.273444458, 87822.399688431, 87824.580690718, 87826.805559259, 87828.953099932, 87831.162723918, 87833.297232601, 87835.411686637, 87837.521722877, 87839.654796885, 87841.783387936, 87843.905208527, 87846.100484508, 87848.290280201, 87850.785233708, 87852.898535995, 87855.019267833, 87857.176402711, 87859.271122879, 87861.451619936, 87863.599833807, 87865.717483909, 87867.877911652, 87870.01499286, 87872.162239363, 87874.268821335, 87876.457468982, 87878.592600228, 87880.726741756, 87882.877431423, 87885.037136031, 87887.179338893, 87889.33443965, 87891.548812199, 87893.701394557, 87895.860105956, 87898.011074638, 87900.174118347, 87902.335406322, 87904.520462533, 87906.772301241, 87908.920303284, 87911.138243174, 87913.30124435, 87915.89811969, 87918.513486634, 87920.838911546, 87922.712553652, 87925.082746745, 87927.202598935, 87929.135018847]","[87803.054535038, 87805.170466841, 87807.329000145, 87809.454642717, 87811.562139607, 87813.70815132, 87815.984406807, 87818.126519015, 87820.27362381, 87822.399884335, 87824.580901848, 87826.805742801, 87828.953315671, 87831.162829587, 87833.297362365, 87835.411826738, 87837.521873105, 87839.654927139, 87841.783555904, 87843.905315034, 87846.100618533, 87848.290389503, 87850.785378139, 87852.898644389, 87855.01942288, 87857.176525421, 87859.27126326, 87861.45176751, 87863.599944366, 87865.717604106, 87867.878083531, 87870.015197355, 87872.162356277, 87874.268961646, 87876.457626403, 87878.592714767, 87880.726879134, 87882.877565308, 87885.037244983, 87887.179469426, 87889.334598957, 87891.548927087, 87893.701528861, 87895.860281677, 87898.011227729, 87900.174234283, 87902.335533433, 87904.52057365, 87906.772421996, 87908.920436401, 87911.1383809, 87913.301374464, 87915.898280464, 87918.513607948, 87920.839048364, 87922.712715614, 87925.082879652, 87927.202736661, 87929.135157551]","[87803.055572038, 87805.171401733, 87807.330178713, 87809.455609177, 87811.562985941, 87813.709043469, 87815.985236519, 87818.127464803, 87820.274470354, 87822.400743031, 87824.581745318, 87826.806608132, 87828.954184493, 87831.16381707, 87833.298430724, 87835.412870023, 87837.522914924, 87839.655927612, 87841.784495546, 87843.906156409, 87846.101570047, 87848.291377334, 87850.786449291, 87852.89949184, 87855.020423353, 87857.177394803, 87859.272102959, 87861.452696536, 87863.600819334, 87865.718657169, 87867.879287591, 87870.016341631, 87872.163184731, 87874.269964773, 87876.458451366, 87878.593573672, 87880.727774356, 87882.878474987, 87885.038192028, 87887.180342369, 87889.335658725, 87891.549867706, 87893.702475836, 87895.861484828, 87898.012316202, 87900.175176648, 87902.336607099, 87904.521570282, 87906.773267632, 87908.921538283, 87911.139406865, 87913.302491013, 87915.899229045, 87918.51467484, 87920.84003431, 87922.713673064, 87925.083796176, 87927.203612398, 87929.136084761]","[87805.165353149, 87807.323827787, 87809.449484187, 87811.556929814, 87813.703056345, 87815.979189891, 87818.121412517, 87820.268425821, 87822.3946714, 87824.57554937, 87826.800687287, 87828.948070888, 87831.157819889, 87833.292102357, 87835.406710951, 87837.516762277, 87839.64989558, 87841.778576517, 87843.899729008, 87846.095760529, 87848.285675441, 87850.779737707, 87852.893979426, 87855.014422052, 87857.171716796, 87859.266318654, 87861.44682444, 87863.594987397, 87865.712823486, 87867.872375213, 87870.010187796, 87872.157468451, 87874.264225515, 87876.452691645, 87878.587780357, 87880.721784788, 87882.872743412, 87885.032443761, 87887.174574197, 87889.329703309, 87891.54419801, 87893.696669321, 87895.855485343, 87898.005874762, 87900.169543968, 87902.330773766, 87904.515900236, 87906.767366273, 87908.915233313, 87911.133538751, 87913.295742482, 87915.892883148, 87918.507992309, 87920.833757905, 87922.707678607, 87925.077564539, 87927.197645738, 87929.130047072, 87931.130947388]","[87805.165712761, 87807.324246694, 87809.449933405, 87811.557310657, 87813.703438446, 87815.979575273, 87818.121842319, 87820.2687774, 87822.395037926, 87824.575904721, 87826.80101114, 87828.948420093, 87831.158192212, 87833.292462178, 87835.407079083, 87837.517162955, 87839.650265319, 87841.77895303, 87843.900111946, 87846.096145353, 87848.285993288, 87850.780185458, 87852.894345951, 87855.014814768, 87857.172102039, 87859.266713395, 87861.447217855, 87863.59536831, 87865.713174717, 87867.872757173, 87870.010694982, 87872.157845104, 87874.264627869, 87876.453094837, 87878.588163226, 87880.722165771, 87882.873110078, 87885.03283934, 87887.174952875, 87889.330116559, 87891.544573406, 87893.697080615, 87895.855893284, 87898.006307497, 87900.169886259, 87902.331152095, 87904.516250838, 87906.767727421, 87908.915619813, 87911.13389927, 87913.296235071, 87915.893280474, 87918.508384257, 87920.834096704, 87922.708070346, 87925.078066207, 87927.198035241, 87929.13044335, 87931.131347647]","[87805.165717929, 87807.32425298, 87809.44994004, 87811.557316873, 87813.703444103, 87815.979581, 87818.121848465, 87820.268783616, 87822.39504463, 87824.575911495, 87826.801017286, 87828.94842575, 87831.158198986, 87833.292468813, 87835.407084251, 87837.517169171, 87839.650281871, 87841.778958827, 87843.900118022, 87846.09615115, 87848.285999085, 87850.780191604, 87852.894351748, 87855.014820565, 87857.172107696, 87859.2667201, 87861.447223582, 87863.595373618, 87865.713180863, 87867.872763878, 87870.010702595, 87872.157851669, 87874.264634434, 87876.453100424, 87878.588168813, 87880.722172336, 87882.873115665, 87885.032845556, 87887.174959021, 87889.330122775, 87891.544579622, 87893.697086342, 87895.855899011, 87898.006313085, 87900.169891986, 87902.33115831, 87904.516256565, 87906.767733078, 87908.915625051, 87911.133905137, 87913.296242753, 87915.893285781, 87918.508398993, 87920.834102431, 87922.708076143, 87925.078073401, 87927.198041876, 87929.130449077, 87931.131353374]"
