,Post-Barrier-Probabilities,Pre-Barrier-Probabilities,Intra-Barrier-Probabilities,Total-Probability,Time,spatialStep,temporalStep,courantNumber,pointCount,barrierStart,barrierWidth,potentialHeight,packetStartX,packetStartY,packetStandardDeviation,packetWaveNumber,constantStairwellLengthRatios,constantStairwellPotentialRatios,length,backend
17,2.1103789703266734e-07,0.99975045399576,0.00024933496634294624,1.0,17,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
18,2.4904497664841347e-07,0.9997204788442796,0.00027927211074380785,1.0,18,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
19,2.9356787576389457e-07,0.9996871611685976,0.0003125452635267957,1.0000000000000002,19,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
20,3.456637923949099e-07,0.9996501620132362,0.00034949232297160776,1.0000000000000002,20,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
21,4.065563184633407e-07,0.9996091125198486,0.00039048092383261784,0.9999999999999997,21,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
22,4.77663718282615e-07,0.9995636114331506,0.000435910903131141,1.0,22,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
23,5.606292544152196e-07,0.9995132227630598,0.0004862166076861659,1.0000000000000004,23,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
24,6.573483195936703e-07,0.9994574736862963,0.0005418689653841417,1.0,24,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
25,7.7000255378102e-07,0.9993958521825898,0.0006033778148565562,1.0,25,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
26,9.010942823883278e-07,0.9993278038024012,0.0006712951033164487,1.0,26,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
27,1.0534915642107427e-06,0.999252728892556,0.0007462176158797124,0.9999999999999999,27,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
28,1.2304702467963236e-06,0.999169980690104,0.0008287888396494037,1.0000000000000002,28,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
29,1.435820194208842e-06,0.9990788615302122,0.0009197026495938765,1.0000000000000002,29,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
30,1.6738308603722937e-06,0.9989786199938931,0.001019706175246684,1.0000000000000002,30,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
31,1.949439030379626e-06,0.9988684488604512,0.001129601700518336,1.0,31,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
32,2.268273523470999e-06,0.9987474811084833,0.001250250617993224,1.0,32,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
33,2.636758770886564e-06,0.9986147862271928,0.0013825770140361109,0.9999999999999998,33,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
34,3.0622101211745378e-06,0.9984693675934708,0.001527570196407954,1.0,34,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
35,3.552947880215717e-06,0.9983101595614815,0.0016862874906381441,0.9999999999999999,35,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
36,4.118427745237407e-06,0.9981360232530627,0.0018598583191917915,0.9999999999999998,36,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
37,4.769384731613338e-06,0.9979457434562669,0.002049487159001543,1.0,37,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
38,5.517989049751011e-06,0.9977380270584743,0.0022564549524757356,0.9999999999999998,38,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
39,6.378027081794303e-06,0.9975114976932624,0.0024821242796557136,0.9999999999999999,39,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
40,7.36509816009585e-06,0.9972646918557149,0.002727943046125229,1.0000000000000002,40,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
41,8.496823469030645e-06,0.996996058210799,0.002995444965732228,1.0000000000000002,41,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
42,9.793087806765076e-06,0.9967039529949878,0.0032862539172051827,0.9999999999999998,42,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
43,1.1276305846657433e-05,0.9963866362673213,0.003602087426832226,1.0000000000000002,43,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
44,1.297170839203207e-05,0.9960422709151987,0.003944757376409278,1.0,44,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
45,1.4907661713351849e-05,0.995668920342238,0.004316171996048695,1.0,45,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
46,1.7116028021721825e-05,0.9952645435380431,0.0047183404339351835,1.0,46,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
47,1.963255449911911e-05,0.9948269923363515,0.005153375109149351,1.0,47,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
48,2.249728170339148e-05,0.9943540133016912,0.005623489416605398,0.9999999999999999,48,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 1, 0, 0]",8,numpy
