,Post-Barrier-Probabilities,Pre-Barrier-Probabilities,Intra-Barrier-Probabilities,Total-Probability,Time,spatialStep,temporalStep,courantNumber,pointCount,barrierStart,barrierWidth,potentialHeight,packetStartX,packetStartY,packetStandardDeviation,packetWaveNumber,constantStairwellLengthRatios,constantStairwellPotentialRatios,length,backend
230,0.8232091286897472,0.01537568539622582,0.16141518591402715,1.0000000000000002,230,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
231,0.8286946785181623,0.01468166586077949,0.15662365562105796,0.9999999999999997,231,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
232,0.83404924788625,0.014017182569730977,0.15193356954401913,1.0000000000000002,232,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
233,0.8392747705907282,0.013381777820563249,0.14734345158870868,1.0,233,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
234,0.8443724494169637,0.012775276964102862,0.14285227361893368,1.0000000000000002,234,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
235,0.8493432382702195,0.012196676716794929,0.13846008501298557,1.0,235,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
236,0.8541875383862632,0.011644553108142625,0.13416790850559404,0.9999999999999998,236,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
237,0.8589058457510504,0.011116941896380537,0.12997721235256876,0.9999999999999998,237,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
238,0.863498946462494,0.010612043546750724,0.1258890099907555,1.0000000000000002,238,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
239,0.8679682754139508,0.010128583371277379,0.12190314121477194,1.0000000000000002,239,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
240,0.8723163343050501,0.009665568698297555,0.11801809699665217,0.9999999999999998,240,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
241,0.8765455840917101,0.009223120406019265,0.11423129550227068,1.0000000000000002,241,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
242,0.8806587635519189,0.008801215641069043,0.11054002080701215,1.0,242,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
243,0.884658533041011,0.008399176821742238,0.10694229013724642,0.9999999999999998,243,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
244,0.888546439698874,0.008016328371338201,0.10343723192978763,0.9999999999999999,244,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
245,0.8923238450603449,0.007651104002369692,0.10002505093728523,0.9999999999999998,245,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
246,0.8959918604247944,0.007301854636914437,0.09670628493829106,0.9999999999999999,246,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
247,0.8995516603223369,0.006967436773290156,0.09348090290437279,0.9999999999999999,247,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
248,0.9030051147138416,0.0066471785043583555,0.09034770678180015,1.0,248,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
249,0.9063545277024948,0.006341233329790978,0.08730423896771422,1.0,249,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
250,0.9096030689490235,0.006049553239157908,0.08434737781181881,1.0000000000000002,250,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
251,0.9127537536215088,0.0057721268687733794,0.0814741195097179,1.0000000000000002,251,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
252,0.9158090945645545,0.0055085849483920025,0.07868232048705327,0.9999999999999998,252,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
253,0.9187715835509559,0.005257400522741626,0.07597101592630237,0.9999999999999999,253,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
254,0.9216425810643138,0.00501744049803405,0.07333997843765212,1.0,254,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
255,0.9244232175655452,0.004787751906740477,0.07078903052771432,1.0,255,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
256,0.9271150800403493,0.004567595828201568,0.06831732413144903,0.9999999999999999,256,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
257,0.929719837342706,0.004357232652348523,0.06592293000494552,1.0,257,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
258,0.9322400255192068,0.004156899415023708,0.06360307506576941,1.0,258,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
259,0.9346784760250848,0.003966805597708705,0.06135471837720657,1.0,259,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
260,0.937038188383456,0.003786537212322788,0.05917527440422123,1.0,260,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
261,0.9393219133164926,0.0036150339716519765,0.05706305271185545,1.0,261,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
262,0.9415313350112573,0.0034514856305571493,0.05501717935818562,1.0,262,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
263,0.943668115235477,0.0032947054638329427,0.053037179300689866,0.9999999999999998,263,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
264,0.945733435665293,0.0031442595132922476,0.05112230482141481,1.0,264,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
265,0.9477282570058085,0.0030006431063311356,0.049271099887860034,0.9999999999999998,265,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
266,0.949654618456697,0.0028639686515359664,0.047481412891767175,1.0000000000000002,266,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
267,0.9515147647224892,0.002734553657423515,0.04575068162008728,1.0,267,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
268,0.9533112723609796,0.0026122542403086415,0.04407647339871175,1.0,268,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
269,0.9550469097621119,0.002496168589656044,0.04245692164823223,1.0000000000000002,269,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
270,0.956723765099704,0.0023854278765150527,0.04089080702378063,0.9999999999999998,270,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
271,0.9583436054678529,0.0022790590511552753,0.03937733548099194,1.0000000000000002,271,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
272,0.9599073004557026,0.0021770056952838913,0.03791569384901354,1.0,272,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
273,0.9614157123152756,0.002079553813575688,0.036504733871148706,1.0,273,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
274,0.962870240010455,0.00198689767799076,0.035142862311554154,0.9999999999999999,274,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
275,0.9642721298952089,0.0018997280481847705,0.03382814205660644,1.0000000000000002,275,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
276,0.9656236890308758,0.0018176745785253746,0.03255863639059876,0.9999999999999999,276,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
277,0.9669274321140875,0.0017398929749792213,0.03133267491093336,1.0,277,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
278,0.9681853095734542,0.0016657339867742487,0.030148956439771765,1.0000000000000002,278,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
279,0.9693991237340802,0.0015944011331904576,0.029006475132729418,1.0000000000000002,279,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
280,0.970569915816045,0.00152578075503559,0.027904303428919454,1.0,280,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 0, 0]",8,numpy
