,cupy_profile_10::Probabilities::Post,cupy_profile_10::Probabilities::3rdStair,cupy_profile_10::Probabilities::2ndStair,cupy_profile_10::Probabilities::1stStair,cupy_profile_10::Probabilities::Pre,cupy_profile_10::FrameCount,cupy_profile_10::SpaceStep,cupy_profile_10::TimeStep,cupy_profile_10::PointCount,cupy_profile_10::RegionLength::Post,cupy_profile_10::RegionLength::3rdStair,cupy_profile_10::RegionLength::2ndStair,cupy_profile_10::RegionLength::1stStair,cupy_profile_10::RegionLength::Pre,cupy_profile_11::Probabilities::Post,cupy_profile_11::Probabilities::3rdStair,cupy_profile_11::Probabilities::2ndStair,cupy_profile_11::Probabilities::1stStair,cupy_profile_11::Probabilities::Pre,cupy_profile_11::FrameCount,cupy_profile_11::SpaceStep,cupy_profile_11::TimeStep,cupy_profile_11::PointCount,cupy_profile_11::RegionLength::Post,cupy_profile_11::RegionLength::3rdStair,cupy_profile_11::RegionLength::2ndStair,cupy_profile_11::RegionLength::1stStair,cupy_profile_11::RegionLength::Pre,packetStartX,packetStartY,initialWaveNumber,standardDeviation
0,4.1578525509048895e-49,4.0101802561177615e-29,1.5146302167071738e-14,3.3405096886773957e-05,0.9999665949030984,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,4.1578525509048895e-49,4.0101802561177615e-29,1.5146302167071738e-14,3.3405096886773957e-05,0.9999665949030984,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
1,5.227522010575621e-49,4.7241156683806947e-29,1.6855042179663756e-14,3.5351878484232435e-05,0.9999646481214989,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,5.224764852763202e-49,4.723365889034681e-29,1.686179476450904e-14,3.535187848424583e-05,0.9999646481214989,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
2,6.5780983129751134e-49,5.566998050057264e-29,1.872941943196276e-14,3.7407628156929605e-05,0.9999625923718243,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,6.571187074825129e-49,5.565247155287628e-29,1.877220247293256e-14,3.740762815697056e-05,0.9999625923718242,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
3,8.284754376127405e-49,6.562451122552775e-29,2.076110940025466e-14,3.957847785255017e-05,0.9999604215221268,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,8.271752273393073e-49,6.559384146684387e-29,2.0899855526318945e-14,3.95784778526073e-05,0.9999604215221265,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
4,1.0443037566503871e-48,7.738417878140328e-29,2.2952176817767847e-14,4.187054646891339e-05,0.9999581294535078,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.0421279790374176e-48,7.733641853687764e-29,2.3269465328499683e-14,4.187054646895684e-05,0.9999581294535077,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
5,1.3174527214016008e-48,9.128006062043042e-29,2.532489625457534e-14,4.429024917955289e-05,0.9999557097507954,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.3140370524081328e-48,9.121032603587322e-29,2.5908542098970124e-14,4.429024917955197e-05,0.9999557097507947,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
6,1.6634023124813833e-48,1.0770450726727636e-28,2.7919851987726685e-14,4.684431608491854e-05,0.9999531556838871,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.6582513219251037e-48,1.0760674952897233e-28,2.884771295850123e-14,4.684431608485813e-05,0.9999531556838862,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
7,2.1018748118300578e-48,1.2712260551389792e-28,3.078364800158628e-14,4.95398232394797e-05,0.99995046017673,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,2.0943178491944632e-48,1.2698935602239217e-28,3.212108382767308e-14,4.953982323936336e-05,0.9999504601767285,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
8,2.6580118327339032e-48,1.5008572892488678e-28,3.395589489575768e-14,5.238419539959404e-05,0.9999476158045664,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,2.6471446117262704e-48,1.4990779162741344e-28,3.576662429133407e-14,5.238419539943355e-05,0.9999476158045648,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
9,3.363881396037495e-48,1.7724762533266759e-28,3.7465424527093065e-14,5.5385212430536567e-05,0.9999446147875319,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,3.348488748295633e-48,1.7701370569765912e-28,3.982659605819226e-14,5.538521243033716e-05,0.9999446147875298,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
