,top_down_stair_2d_10::Probabilities::Post,top_down_stair_2d_10::Probabilities::3rdStair,top_down_stair_2d_10::Probabilities::2ndStair,top_down_stair_2d_10::Probabilities::1stStair,top_down_stair_2d_10::Probabilities::Pre,top_down_stair_2d_10::FrameCount,top_down_stair_2d_10::SpaceStep,top_down_stair_2d_10::TimeStep,top_down_stair_2d_10::PointCount,top_down_stair_2d_10::RegionLength::Post,top_down_stair_2d_10::RegionLength::3rdStair,top_down_stair_2d_10::RegionLength::2ndStair,top_down_stair_2d_10::RegionLength::1stStair,top_down_stair_2d_10::RegionLength::Pre,top_down_stair_2d_11::Probabilities::Post,top_down_stair_2d_11::Probabilities::3rdStair,top_down_stair_2d_11::Probabilities::2ndStair,top_down_stair_2d_11::Probabilities::1stStair,top_down_stair_2d_11::Probabilities::Pre,top_down_stair_2d_11::FrameCount,top_down_stair_2d_11::SpaceStep,top_down_stair_2d_11::TimeStep,top_down_stair_2d_11::PointCount,top_down_stair_2d_11::RegionLength::Post,top_down_stair_2d_11::RegionLength::3rdStair,top_down_stair_2d_11::RegionLength::2ndStair,top_down_stair_2d_11::RegionLength::1stStair,top_down_stair_2d_11::RegionLength::Pre,top_down_stair_2d_12::Probabilities::Post,top_down_stair_2d_12::Probabilities::3rdStair,top_down_stair_2d_12::Probabilities::2ndStair,top_down_stair_2d_12::Probabilities::1stStair,top_down_stair_2d_12::Probabilities::Pre,top_down_stair_2d_12::FrameCount,top_down_stair_2d_12::SpaceStep,top_down_stair_2d_12::TimeStep,top_down_stair_2d_12::PointCount,top_down_stair_2d_12::RegionLength::Post,top_down_stair_2d_12::RegionLength::3rdStair,top_down_stair_2d_12::RegionLength::2ndStair,top_down_stair_2d_12::RegionLength::1stStair,top_down_stair_2d_12::RegionLength::Pre
340,0.25680326149897664,0.16020807348751578,0.1783784288694351,0.1485834455410678,0.25602679060300454,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.2585411237365683,0.1519024954460439,0.17911276163477713,0.15190249544604356,0.25854112373656724,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.2511926527537254,0.15874781002628788,0.18011907443997496,0.15874781002628757,0.25119265275372415,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
341,0.25706993775730125,0.1599883490054564,0.17822310350200865,0.148395861332709,0.25632274840252467,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.25873138490998465,0.15176147731655323,0.1790142755469257,0.15176147731655293,0.25873138490998365,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.251541470391166,0.15853263547052365,0.17985178827662213,0.15853263547052338,0.25154147039116476,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
342,0.25726836395029495,0.15979343075488753,0.17808120688620732,0.14823400053016947,0.25662299787844084,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.2588937082330909,0.15164368436017064,0.17892521481347815,0.1516436843601703,0.25889370823309,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.25189898997371496,0.15831329864479582,0.17957542276298,0.15831329864479546,0.25189898997371374,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
343,0.25738057923085306,0.15965467642020117,0.17791538087173245,0.148046557255632,0.25700280622158134,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.2591306058776161,0.15148618916372442,0.17876640991732043,0.15148618916372408,0.2591306058776151,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.25225179130509623,0.15809984578547928,0.1792967258188505,0.15809984578547892,0.2522517913050951,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
344,0.2575093242776017,0.15954084266870674,0.1776997900446224,0.14780913757092923,0.2574409054381399,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.2594888476785479,0.15125714188971617,0.17850802086347298,0.15125714188971584,0.259488847678547,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.25258526934899506,0.15790100175476504,0.17902745779248122,0.15790100175476468,0.2525852693489939,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
345,0.2577066735415119,0.15940970657444326,0.17745989609811766,0.1475496333973288,0.2578740903885983,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.259880390444035,0.15100978086325406,0.1782196573854233,0.1510097808632537,0.25988039044403405,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.2529175366368345,0.15770244167344,0.1787600433794524,0.15770244167343966,0.25291753663683336,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
346,0.25790314810170933,0.15927671450148298,0.17721739853181795,0.14728738350136686,0.2583153553636228,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.26027017544831943,0.15076739025975042,0.1779248685838617,0.15076739025975008,0.2602701754483185,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.253265483102272,0.1574937042599847,0.17848162527548814,0.15749370425998435,0.2532654831022708,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
347,0.25811241070385144,0.15915524318498292,0.17695132700106686,0.14700284395790503,0.2587781751521937,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.2607177909909945,0.1504924951723215,0.17757942767336912,0.1504924951723211,0.26071779099099357,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.2536114055314366,0.1572891016479411,0.17819898564124603,0.1572891016479408,0.2536114055314355,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
348,0.2584514890353466,0.159009342651113,0.17663653042580765,0.14667890192700003,0.2592237359607327,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.2612237375407945,0.15018112459340724,0.17719027573159768,0.15018112459340688,0.26122373754079353,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.2539350439414591,0.15710233383152847,0.1779252444540262,0.1571023338315281,0.25393504394145805,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
349,0.25891786712537346,0.15883712832802502,0.17629081699731508,0.14633040102400846,0.2596237865252781,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.2617468481557698,0.14985671487679636,0.17679287393486903,0.14985671487679597,0.2617468481557688,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.25425088712757754,0.1569223873021445,0.17765345114055742,0.15692238730214417,0.25425088712757654,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
