,momentum_space00::Probabilities::Post,momentum_space00::Probabilities::3rdStair,momentum_space00::Probabilities::2ndStair,momentum_space00::Probabilities::1stStair,momentum_space00::Probabilities::Pre,momentum_space00::FrameCount,momentum_space00::SpaceStep,momentum_space00::TimeStep,momentum_space00::PointCount,momentum_space00::RegionLength::Post,momentum_space00::RegionLength::3rdStair,momentum_space00::RegionLength::2ndStair,momentum_space00::RegionLength::1stStair,momentum_space00::RegionLength::Pre,packetStartX,packetStartY,initialWaveNumber,standardDeviation
0,1.79763139116204e-76,2.488087490607694e-45,1.6807577927518554e-22,3.604342089276261e-07,0.999999639565791,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
1,7.622678586920033e-44,6.897273977223641e-32,6.249969916251499e-20,6.973742956415057e-07,0.9999993026257045,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
2,5.367670424885403e-42,3.2093360459765645e-30,1.4954512699168156e-18,1.427339699632483e-06,0.9999985726603002,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
3,1.8919831259172382e-40,7.510350143149322e-29,1.8114975172296177e-17,2.9218380354155155e-06,0.9999970781619645,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
4,4.452857956431762e-39,1.179621515389552e-27,1.4914754710235005e-16,5.824321307326351e-06,0.9999941756786925,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
5,7.876133088913634e-38,1.4001970294922788e-26,9.459372309826135e-16,1.1201859961851729e-05,0.9999887981400372,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
6,1.11733915345217e-36,1.340847706208283e-25,4.9481750212224796e-15,2.0753373946223524e-05,0.9999792466260489,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
7,1.324955504850989e-35,1.0798574694454266e-24,2.227277847079189e-14,3.708514493577636e-05,0.999962914855042,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
8,1.3514836812522769e-34,7.527980690457654e-24,8.876655705197022e-14,6.406231942067819e-05,0.9999359376804906,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
9,1.2110879195524298e-33,4.640154524845173e-23,3.1967921887045243e-13,0.0001072413767749333,0.9998927586229053,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
10,9.690191456513054e-33,2.5703783691838287e-22,1.0562160104233348e-12,0.0001743830855518818,0.999825616913392,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
11,7.012300843402391e-32,1.2961775638037707e-21,3.2391257269955616e-12,0.0002760382684657691,0.999723961728295,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
12,4.637627868460895e-31,6.012646542183132e-21,9.305428189921968e-12,0.00042618992043992463,0.9995738100702546,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
13,2.8274760910832447e-30,2.5878646622848376e-20,2.5229009811175714e-11,0.0006429253066447724,0.9993570746681262,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
14,1.6008028361183958e-29,1.0409464529853209e-19,6.494740122488518e-11,0.000949101292901729,0.9990508986421507,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
