,lightspeed00::Probabilities::Post,lightspeed00::Probabilities::3rdStair,lightspeed00::Probabilities::2ndStair,lightspeed00::Probabilities::1stStair,lightspeed00::Probabilities::Pre,lightspeed00::FrameCount,lightspeed00::SpaceStep,lightspeed00::TimeStep,lightspeed00::PointCount,lightspeed00::RegionLength::Post,lightspeed00::RegionLength::3rdStair,lightspeed00::RegionLength::2ndStair,lightspeed00::RegionLength::1stStair,lightspeed00::RegionLength::Pre,packetStartX,packetStartY,initialWaveNumber,standardDeviation
0,4.1578525509048956e-49,4.0101802561177795e-29,1.5146302167071735e-14,3.340509688677395e-05,0.9999665949030979,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
1,5.224764852763208e-49,4.7233658890347e-29,1.6861794764509033e-14,3.535187848424582e-05,0.9999646481214989,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
2,6.571187074825124e-49,5.565247155287643e-29,1.8772202472932557e-14,3.740762815697055e-05,0.9999625923718243,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
3,8.271752273393038e-49,6.559384146684402e-29,2.0899855526318945e-14,3.9578477852607296e-05,0.9999604215221267,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
4,1.0421279790374088e-48,7.733641853687777e-29,2.326946532849968e-14,4.187054646895683e-05,0.999958129453508,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
5,1.314037052408121e-48,9.121032603587326e-29,2.5908542098970127e-14,4.429024917955196e-05,0.999955709750795,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
6,1.658251321925103e-48,1.0760674952897208e-28,2.884771295850123e-14,4.684431608485813e-05,0.9999531556838862,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
7,2.0943178491945048e-48,1.269893560223915e-28,3.212108382767309e-14,4.953982323936335e-05,0.9999504601767283,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
8,2.6471446117263996e-48,1.4990779162741257e-28,3.576662429133405e-14,5.2384195399433516e-05,0.9999476158045648,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
9,3.348488748295899e-48,1.7701370569765854e-28,3.982659605819227e-14,5.538521243033717e-05,0.9999446147875299,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
10,4.238863578297297e-48,2.090798386929717e-28,4.4348043027631614e-14,5.855103633704977e-05,0.9999414489636187,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
11,5.369980847543999e-48,2.4702262811712415e-28,4.9383320942983635e-14,6.189021803547939e-05,0.9999381097819154,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
12,6.807881763966269e-48,2.9192908905082422e-28,5.4990693366968964e-14,6.541171549002614e-05,0.9999345882844551,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
13,8.636953082346156e-48,3.4508878160640795e-28,6.123500038289472e-14,6.912491977384522e-05,0.9999308750801648,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
14,1.0965078660262468e-47,4.080317483250117e-28,6.818839318654328e-14,7.303967134467553e-05,0.9999269603285874,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
15,1.3930250715582928e-47,4.8257357140767755e-28,7.593114819238954e-14,7.71662755277748e-05,0.9999228337243965,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
16,1.770905862183165e-47,5.708689236410547e-28,8.455257478528898e-14,8.151552290336839e-05,0.9999184844770119,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
17,2.2527592267746205e-47,6.754752026873119e-28,9.415202429030258e-14,8.609871121623837e-05,0.9999139012886897,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
18,2.8675449698076605e-47,7.994280874750707e-28,1.0484000271129439e-13,9.092766126061929e-05,0.9999090723386349,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
19,3.652374306933701e-47,9.46331373185617e-28,1.1673941451031706e-13,9.601474162803442e-05,0.9999039852582554,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
20,4.6548251971876575e-47,1.1204637654597447e-27,1.299869477336114e-13,0.00010137289732360083,0.9998986271025462,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
21,5.935919845582269e-47,1.3269056695815552e-27,1.4473459650561542e-13,0.00010701566713468498,0.9998929843327204,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
22,7.573955624538239e-47,1.571689900192156e-27,1.6115135658416653e-13,0.0001129572073743365,0.9998870427924647,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
23,9.669435595812113e-47,1.861980827433405e-27,1.7942511158907137e-13,0.00011921232001560398,0.9998807876798047,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
24,1.235141526710908e-46,2.2062871602021728e-27,1.9976471438994298e-13,0.00012579647420911502,0.9998742035255911,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
25,1.5785675339311955e-46,2.614714833572532e-27,2.2240229928756728e-13,0.00013272583184238562,0.9998672741679351,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
26,2.018524919020056e-46,3.0992676392788632e-27,2.475958554956495e-13,0.000140017279689307,0.9998599827200629,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
27,2.5823986051899647e-46,3.67420443404789e-27,2.7563207490650703e-13,0.0001476884586548378,0.9998523115410699,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
28,3.3054028648623425e-46,4.35646347034824e-27,3.068294974264412e-13,0.00015575778797121542,0.9998442422117219,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
29,4.2328342367286545e-46,5.166166762170816e-27,3.4154200802289723e-13,0.00016424449671818868,0.9998357555029405,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
30,5.422976184156427e-46,6.127219453922865e-27,3.801627137745167e-13,0.0001731686569541418,0.9998268313426655,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
31,6.950844505854124e-46,7.268021721328255e-27,4.231282206687839e-13,0.00018255120937748853,0.9998174487901995,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
32,8.913018302293778e-46,8.622314884173873e-27,4.709233875333515e-13,0.0001924139980762824,0.9998075860014527,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
33,1.1433872339919817e-45,1.0230186942835356e-26,5.240866017762977e-13,0.00020277981013979815,0.9997972201893359,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
34,1.4673618018464146e-45,1.2139266828384428e-26,5.832155963529322e-13,0.0002136724060031084,0.9997863275934138,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
35,1.88386799621798e-45,1.4406143220242032e-26,6.489738922327364e-13,0.00022511655265715312,0.999774883446694,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
36,2.419508920907762e-45,1.7098050407518834e-26,7.220979457976217e-13,0.00023713806388338994,0.9997628619353944,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
37,3.1085771505389e-45,2.0294870591521943e-26,8.034050422212897e-13,0.00024976383577017124,0.9997502361634268,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
38,3.995286637671902e-45,2.409151193418728e-26,8.93802017920924e-13,0.0002630218805240211,0.9997369781185822,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
39,5.1366546236723756e-45,2.860073379351939e-26,9.942949395973062e-13,0.0002769413708609792,0.9997230586281447,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
40,6.606223183835367e-45,3.395650224648803e-26,1.1059998091503016e-12,0.00029155268454978165,0.9997084473143439,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
41,8.498865248764119e-45,4.031797377359957e-26,1.230154359531185e-12,0.0003068874389221249,0.9996931125598477,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
42,1.0936992050197641e-44,4.787422631274358e-26,1.3681311196266822e-12,0.00032297853372742713,0.999677021464904,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
43,1.4078571357394074e-44,5.684987739536548e-26,1.5214518742532508e-12,0.00033986019943606124,0.9996601397990424,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
44,1.8127484849553514e-44,6.751175245183068e-26,1.6918035930893123e-12,0.0003575680350270908,0.999642431963281,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
45,2.334690836297915e-44,8.017680127614715e-26,1.881056046737301e-12,0.0003761390518475357,0.9996238609462711,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
46,3.007659872330989e-44,9.522149693152876e-26,2.0912813146535335e-12,0.00039561172840362597,0.999604388269505,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
47,3.8755227594090544e-44,1.1309298945292777e-25,2.3247752847388633e-12,0.0004160260566562835,0.9995839739410187,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
48,4.994923658059574e-44,1.343223404971778e-25,2.5840813557873308e-12,0.00043742358368642676,0.9995625764137296,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
49,6.439012025796654e-44,1.595402301633866e-25,2.8720166599158944e-12,0.00045984746532685825,0.9995401525318013,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
50,8.302259847170882e-44,1.8949559233835265e-25,3.1917009946919626e-12,0.00048334251895542144,0.9995166574778529,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
51,1.0706685648631128e-43,2.250777172818865e-25,3.5465886680730326e-12,0.0005079552657467404,0.9994920447307067,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
52,1.3809896465779307e-43,2.6734247220491893e-25,3.940503698271629e-12,0.0005337339857425391,0.9994662660103169,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
53,1.7815478716018968e-43,3.1754340307077447e-25,4.377678693107551e-12,0.0005607287810661473,0.9994392712145562,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
54,2.2986423049977044e-43,3.7716860794893213e-25,4.862797593655495e-12,0.0005889916229014726,0.9994110083722356,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
55,2.966246890216943e-43,4.479844555773077e-25,5.40104279969386e-12,0.0006185764019168202,0.9993814235926823,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
56,3.8282512966720825e-43,5.320874216864925e-25,5.998147217682536e-12,0.000649538992938354,0.9993504610010634,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
57,4.941355752688858e-43,6.319655229708836e-25,6.660451504963597e-12,0.0006819373081653762,0.9993180626851745,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
58,6.378810505899712e-43,7.505711162489703e-25,7.39496706262805e-12,0.0007158313458872239,0.9992841686467177,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
59,8.235246236734922e-43,8.914071762590484e-25,8.209445584390901e-12,0.0007512832583135982,0.9992487167334767,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
60,1.0632913141399512e-42,1.0586295142496814e-24,9.112455625786451e-12,0.0007883574178681615,0.9992116425730192,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
61,1.3729738562394773e-42,1.2571678366498522e-24,1.0113466675013878e-11,0.0008271204653543315,0.9991728795245326,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
62,1.772973264964088e-42,1.4928691301194791e-24,1.1222941791127772e-11,0.000867641370900395,0.9991323586178764,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
63,2.289642511784116e-42,1.7726674674202996e-24,1.2452439665727048e-11,0.0009099915060641121,0.9990900084814837,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
64,2.957021350209724e-42,2.1047850076698528e-24,1.3814726606286198e-11,0.000954244695166214,0.9990457552910192,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
65,3.819075946235747e-42,2.498969919492517e-24,1.532389971294656e-11,0.001000477272006806,0.9989995227126692,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
66,4.9325899476705114e-42,2.9667780121688917e-24,1.699552263753358e-11,0.0010487681598777083,0.998951231823127,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
67,6.370895870814938e-42,3.521905947570594e-24,1.8846774562751935e-11,0.0010991989349464991,0.9989008010462068,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
68,8.228690349380446e-42,4.180585388835077e-24,2.089661364290979e-11,0.0011518538759560186,0.9988481461031474,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
69,1.0628247418948797e-41,4.962049262658301e-24,2.3165956927003658e-11,0.0012068200375794419,0.9987931799392545,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
70,1.3727434446546549e-41,5.8890831519409775e-24,2.5677877964035772e-11,0.0012641873227431525,0.9987358126515787,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
71,1.7730051788665008e-41,6.988677106603004e-24,2.8457823268719475e-11,0.0013240485306439754,0.9986759514408987,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
72,2.2899168035943348e-41,8.292796192431807e-24,3.153385026862776e-11,0.0013864994241409398,0.9986135005443256,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
73,2.957431604522446e-41,9.839291270658926e-24,3.493688888212202e-11,0.001451638816456817,0.9985483611486062,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
74,3.8193662760228934e-41,1.1672974983638577e-23,3.870102780527404e-11,0.0015195686264818276,0.9984804313348169,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
75,4.932258643837033e-41,1.384689276430685e-23,4.286382836341559e-11,0.0015903939312711859,0.9984096060258653,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
