,"Starting ""Step""",Created knownStepMatrix,Created unknownStepMatrix,"Started ""Compute""",Reshaped Wave Function,Matrix Multiplication,Fine Grain: sparse.csr_matrix,Fine Grain: Solve for nextWaveFunction,Fine Grain: Reshape nextWaveFunction,Solved For Independant Terms and Reshaped,"Appended Wave Function and Finished ""Compute""","Computed and Finished ""Step"""
47,51624.901789115,51624.904049589,51624.90631139,51624.906316139,51624.90647859,51624.907544992,51624.90754597,51627.134310478,51627.134323748,51627.134325215,51627.134756972,51627.13476682
48,51627.135322125,51627.138029233,51627.139566084,51627.139570345,51627.139775328,51627.14085514,51627.140857514,51629.053252195,51629.053272728,51629.053275592,51629.053633737,51629.05713326
49,51629.057675506,51629.059965942,51629.062178994,51629.062182765,51629.062325171,51629.063341916,51629.063343802,51630.858300682,51630.85831493,51630.858316815,51630.858709741,51630.858720008
50,51630.85929459,51630.861822904,51630.863330073,51630.863333844,51630.863499996,51630.864571288,51630.864572265,51632.690073623,51632.690087451,51632.690088918,51632.69047444,51632.69382213
51,51632.694352083,51632.696542577,51632.698701013,51632.698705204,51632.698870797,51632.69986198,51632.699863866,51634.544760491,51634.54477446,51634.544776345,51634.54520901,51634.54521809
52,51634.545973769,51634.548509557,51634.549907844,51634.549917971,51634.550090129,51634.551133693,51634.551135649,51636.357239643,51636.35725431,51636.357256684,51636.357622442,51636.361057711
53,51636.362110355,51636.364269001,51636.366380993,51636.366385673,51636.36655804,51636.367598252,51636.367599649,51638.170339961,51638.17035344,51638.170355884,51638.170750626,51638.170760543
54,51638.171312078,51638.173844443,51638.17529518,51638.175299441,51638.175455605,51638.176474306,51638.176476122,51639.973586969,51639.973600658,51639.973602124,51639.973998123,51639.977406504
55,51639.97793967,51639.980120246,51639.982306759,51639.982311019,51639.982473749,51639.983440558,51639.983442443,51641.778687697,51641.778701665,51641.778703551,51641.779102552,51641.77911226
56,51641.779927933,51641.782483905,51641.783816611,51641.783819964,51641.783991982,51641.785020321,51641.785022277,51643.598178677,51643.598191807,51643.598193762,51643.59856818,51643.602149767
57,51643.602705422,51643.60490702,51643.607070974,51643.607075304,51643.607247532,51643.608224328,51643.608226284,51645.481642486,51645.481656315,51645.481657781,51645.48204519,51645.482055037
58,51645.482597213,51645.485191108,51645.486553986,51645.486558246,51645.486717833,51645.487718026,51645.487719423,51647.285284306,51647.285298623,51647.285300509,51647.285678279,51647.289142114
