,"Starting ""Step""",Created knownStepMatrix,Created unknownStepMatrix,"Started ""Compute""",Reshaped Wave Function,Matrix Multiplication,Fine Grain: sparse.csr_matrix,Fine Grain: Solve for nextWaveFunction,Fine Grain: Reshape nextWaveFunction,Solved For Independant Terms and Reshaped,"Appended Wave Function and Finished ""Compute""","Computed and Finished ""Step"""
0,51415.432412191,51415.4367526,51415.440681645,51415.440685067,51415.440870565,51415.443198994,51415.443201858,51417.60764798,51417.607659503,51417.607661389,51417.608223819,51417.608480065
1,51417.609473274,51417.611618231,51417.615110631,51417.615119291,51417.615463957,51417.616877259,51417.616879075,51419.440590342,51419.440601866,51419.440603822,51419.440941154,51419.443544477
2,51419.44411012,51419.446265902,51419.447779915,51419.447783687,51419.44793182,51419.449155853,51419.449159205,51421.701473555,51421.701486405,51421.701487872,51421.701864315,51421.705501774
3,51421.705991779,51421.708017098,51421.709371804,51421.709375576,51421.709553251,51421.711013207,51421.711015093,51423.8866957,51423.886708271,51423.886710157,51423.887152111,51423.890145915
4,51423.89073663,51423.892743582,51423.894135932,51423.894139773,51423.894309347,51423.895359686,51423.895361572,51425.683866896,51425.683881283,51425.683883169,51425.684255491,51425.687311175
5,51425.68784476,51425.689892289,51425.691350569,51425.691353852,51425.691479775,51425.692594856,51425.692596323,51427.407718375,51427.407731644,51427.40773346,51427.408136932,51427.411175435
6,51427.411783191,51427.41398898,51427.41539467,51427.415398441,51427.415569202,51427.416635674,51427.41663763,51429.626282965,51429.626297283,51429.626299169,51429.626671631,51429.629813428
7,51429.630526994,51429.632705265,51429.634086022,51429.634089374,51429.634257342,51429.635314316,51429.635316201,51432.188636488,51432.188650666,51432.188652621,51432.189037096,51432.192102488
8,51432.19258914,51432.194660764,51432.196023292,51432.196027482,51432.196181063,51432.197198437,51432.197200811,51434.539094562,51434.539107972,51434.539109927,51434.53951277,51434.542641787
9,51434.543171112,51434.545544659,51434.546932679,51434.546936031,51434.547075224,51434.548150357,51434.548152243,51437.039266961,51437.03928065,51437.039282535,51437.039692223,51437.042928376
10,51437.043454209,51437.045547553,51437.046944443,51437.046948214,51437.047123236,51437.048207378,51437.048209264,51439.698018602,51439.698031593,51439.698034037,51439.698420258,51439.701776398
11,51439.702469709,51439.704363169,51439.705700624,51439.705704466,51439.705860281,51439.706842944,51439.70684476,51441.71588689,51441.715901137,51441.715903023,51441.716303352,51441.719413512
12,51441.720056538,51441.722016137,51441.723374265,51441.723377547,51441.723546912,51441.724603397,51441.724605771,51443.527531377,51443.527544647,51443.527546114,51443.527952239,51443.531076018
13,51443.531796288,51443.533842979,51443.535223806,51443.535227647,51443.535403786,51443.536427865,51443.536430169,51445.455887241,51445.45590058,51445.455901558,51445.45632682,51445.46096524
14,51445.461489397,51445.463582393,51445.466762812,51445.466767981,51445.467056075,51445.468934868,51445.468936753,51447.479442262,51447.479456021,51447.479457418,51447.479862356,51447.483037887
15,51447.483722259,51447.485764968,51447.487156481,51447.487160392,51447.487321585,51447.488376673,51447.488378559,51449.97883293,51449.9788462,51449.978848086,51449.979238637,51449.982419056
16,51449.982929524,51449.985074621,51449.986556298,51449.986560628,51449.986728596,51449.98772837,51449.987730814,51452.472522826,51452.472535607,51452.472537493,51452.472965758,51452.475997207
17,51452.476524436,51452.478515534,51452.479894684,51452.479898944,51452.480069845,51452.481088546,51452.481090013,51454.48964151,51454.489655478,51454.489657434,51454.490049312,51454.49311596
18,51454.493648568,51454.495657405,51454.497089774,51454.497093126,51454.497277716,51454.498305496,51454.498307382,51456.657337229,51456.657351337,51456.657352734,51456.657747266,51456.660907013
19,51456.661458198,51456.663393004,51456.664746103,51456.664749875,51456.66492755,51456.666056041,51456.666057927,51458.849461085,51458.849474355,51458.84947624,51458.849861763,51458.852820926
20,51458.853371623,51458.855438079,51458.856873102,51458.856876943,51458.857055247,51458.858080723,51458.858082678,51460.838821747,51460.838835436,51460.838837741,51460.839236813,51460.842330769
21,51460.842925466,51460.844951134,51460.846352564,51460.846356824,51460.846514805,51460.847516744,51460.847518211,51462.62335786,51462.623369663,51462.623371618,51462.623783471,51462.626903827
22,51462.627450822,51462.629510503,51462.630864092,51462.630867864,51462.631048822,51462.632065358,51462.632066754,51464.50586394,51464.50587686,51464.505878816,51464.506260427,51464.509427438
23,51464.510226209,51464.512241402,51464.513641784,51464.513645136,51464.513793618,51464.514856668,51464.514858554,51466.294356196,51466.294369745,51466.294371212,51466.29477147,51466.297986601
24,51466.298707081,51466.300729956,51466.30211232,51466.302115672,51466.302282173,51466.303311979,51466.303314842,51468.070287756,51468.070301375,51468.070303749,51468.070676072,51468.073440379
25,51468.073935691,51468.076109702,51468.077491297,51468.077495139,51468.077620503,51468.078668537,51468.078670423,51469.862438214,51469.862452392,51469.862454278,51469.862845038,51469.866000525
26,51469.866651094,51469.868688286,51469.870114999,51469.87011877,51469.870282687,51469.87130914,51469.871311026,51471.652364376,51471.652378764,51471.65238016,51471.652762261,51471.655884852
27,51471.65642179,51471.658390259,51471.65977786,51471.659781631,51471.659970132,51471.66104317,51471.661045125,51473.433424292,51473.433435746,51473.433437631,51473.433825039,51473.436845524
28,51473.437374639,51473.439507653,51473.440943585,51473.440947496,51473.441098003,51473.442183821,51473.442185707,51475.280900355,51475.280913695,51475.280915581,51475.281319611,51475.284340025
29,51475.284862436,51475.286907241,51475.288455127,51475.288458969,51475.288620511,51475.289641167,51475.289643123,51477.062189978,51477.062203736,51477.062205133,51477.062598827,51477.065572099
30,51477.066099678,51477.068076108,51477.069498211,51477.069501982,51477.069665341,51477.070687464,51477.070689838,51478.845452609,51478.845466228,51478.845467695,51478.845874099,51478.848722495
31,51478.84926495,51478.851321559,51478.852710906,51478.852714188,51478.852865464,51478.853929143,51478.853931447,51480.628575488,51480.628589736,51480.628591133,51480.628990763,51480.631921641
32,51480.632743251,51480.634817249,51480.636254438,51480.636259187,51480.636395866,51480.637552642,51480.637563328,51482.425137524,51482.425151772,51482.425153727,51482.42555643,51482.428634254
33,51482.429173357,51482.431256714,51482.432659541,51482.432663871,51482.432827648,51482.433827841,51482.433829727,51484.255430604,51484.255444013,51484.25544541,51484.255821643,51484.258727658
34,51484.25924078,51484.261183827,51484.262605161,51484.262608933,51484.262772151,51484.263762497,51484.263764382,51486.039540965,51486.039554724,51486.039556679,51486.039965249,51486.042886699
35,51486.043414278,51486.045474029,51486.046897179,51486.046899554,51486.047093502,51486.048128895,51486.048130851,51487.822011739,51487.822025148,51487.822027034,51487.822650295,51487.825659465
36,51487.826415913,51487.828558006,51487.829940649,51487.82994442,51487.830140604,51487.831261971,51487.831263927,51489.607171182,51489.607183474,51489.60718494,51489.607581498,51489.610479341
37,51489.611040444,51489.613145801,51489.614595561,51489.614599402,51489.614765903,51489.615795359,51489.615797315,51491.381460779,51491.381474538,51491.381476494,51491.381875845,51491.384708805
38,51491.385235826,51491.387381202,51491.388854149,51491.38885799,51491.389045443,51491.39004836,51491.390050246,51493.264003805,51493.264017215,51493.264018612,51493.264392401,51493.267180454
39,51493.268013378,51493.270157846,51493.271494743,51493.271497676,51493.271611028,51493.27270844,51493.272710814,51495.132036872,51495.132050002,51495.132051958,51495.132468071,51495.135381768
40,51495.136046724,51495.1381481,51495.139557213,51495.139560984,51495.139736494,51495.140768395,51495.140770351,51496.919454974,51496.919475786,51496.919477742,51496.919876115,51496.922679114
41,51496.923217449,51496.925397536,51496.926737156,51496.926740928,51496.926869714,51496.927995901,51496.927997856,51498.735501884,51498.735515852,51498.735517737,51498.73592058,51498.738902303
42,51498.739441545,51498.741589855,51498.742973126,51498.742976897,51498.743160649,51498.744230473,51498.744232289,51500.513013945,51500.513026726,51500.513028612,51500.513411341,51500.516232359
43,51500.516757493,51500.518716953,51500.520149741,51500.520153024,51500.520319106,51500.521393191,51500.521395146,51502.329610853,51502.329624123,51502.329626009,51502.330032134,51502.332904974
44,51502.333508191,51502.335668863,51502.337048921,51502.337052343,51502.337214514,51502.338253958,51502.338255844,51504.190636981,51504.190650181,51504.190652067,51504.191074046,51504.194012048
45,51504.194548497,51504.196666705,51504.198108642,51504.198111995,51504.198281848,51504.199363406,51504.199364384,51505.990606141,51505.990619969,51505.990621436,51505.991037968,51505.993999716
46,51505.99454252,51505.996656398,51505.998013898,51505.99801725,51505.998183611,51505.999192395,51505.999193861,51507.783441041,51507.783454521,51507.783456965,51507.783835433,51507.786574039
47,51507.787356468,51507.789461756,51507.790897896,51507.790901807,51507.791056785,51507.792093714,51507.792096019,51509.569504297,51509.569517637,51509.569519592,51509.569914194,51509.572720057
48,51509.573778846,51509.575868839,51509.577254903,51509.577256859,51509.577435791,51509.578533203,51509.578535159,51511.367687971,51511.367702079,51511.367703965,51511.368116586,51511.370931667
49,51511.371450586,51511.373497067,51511.374884249,51511.374887672,51511.375060738,51511.376127699,51511.376129585,51513.163996624,51513.164010103,51513.16401157,51513.164421327,51513.167352555
50,51513.168068285,51513.17014836,51513.171562291,51513.171565574,51513.171732564,51513.172732757,51513.172734712,51515.024267002,51515.024279853,51515.024281808,51515.024677178,51515.027549739
51,51515.028285933,51515.030312999,51515.031730492,51515.031734333,51515.031900415,51515.032905358,51515.032907243,51516.813553979,51516.813565992,51516.813567878,51516.813966111,51516.816731606
52,51516.817281185,51516.819280034,51516.820662886,51516.820667216,51516.820832111,51516.821927218,51516.821939231,51518.591811384,51518.591825213,51518.591827169,51518.592223516,51518.594931881
