,diagonal_cases_00::Probabilities::Post,diagonal_cases_00::Probabilities::3rdStair,diagonal_cases_00::Probabilities::2ndStair,diagonal_cases_00::Probabilities::1stStair,diagonal_cases_00::Probabilities::Pre,diagonal_cases_00::FrameCount,diagonal_cases_00::SpaceStep,diagonal_cases_00::TimeStep,diagonal_cases_00::PointCount,diagonal_cases_00::RegionLength::Post,diagonal_cases_00::RegionLength::3rdStair,diagonal_cases_00::RegionLength::2ndStair,diagonal_cases_00::RegionLength::1stStair,diagonal_cases_00::RegionLength::Pre,diagonal_cases_01::Probabilities::Post,diagonal_cases_01::Probabilities::3rdStair,diagonal_cases_01::Probabilities::2ndStair,diagonal_cases_01::Probabilities::1stStair,diagonal_cases_01::Probabilities::Pre,diagonal_cases_01::FrameCount,diagonal_cases_01::SpaceStep,diagonal_cases_01::TimeStep,diagonal_cases_01::PointCount,diagonal_cases_01::RegionLength::Post,diagonal_cases_01::RegionLength::3rdStair,diagonal_cases_01::RegionLength::2ndStair,diagonal_cases_01::RegionLength::1stStair,diagonal_cases_01::RegionLength::Pre,diagonal_cases_02::Probabilities::Post,diagonal_cases_02::Probabilities::3rdStair,diagonal_cases_02::Probabilities::2ndStair,diagonal_cases_02::Probabilities::1stStair,diagonal_cases_02::Probabilities::Pre,diagonal_cases_02::FrameCount,diagonal_cases_02::SpaceStep,diagonal_cases_02::TimeStep,diagonal_cases_02::PointCount,diagonal_cases_02::RegionLength::Post,diagonal_cases_02::RegionLength::3rdStair,diagonal_cases_02::RegionLength::2ndStair,diagonal_cases_02::RegionLength::1stStair,diagonal_cases_02::RegionLength::Pre
597,0.36316042038112156,0.1316645174204654,0.10447611468499866,0.13742284584992348,0.26327610166349086,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.3676151186062214,0.13072011129125852,0.09645201915720038,0.1311798956432278,0.274032855302092,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.34819135164425846,0.14752525410830017,0.1260588084108972,0.15206651877818278,0.22615806705836156,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
598,0.36582642699188006,0.13005677288105086,0.10399429785684056,0.1378280104994084,0.26229449177082,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.37090810521670564,0.12787998707363774,0.09499722431640979,0.13232071287254574,0.27389397052070125,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.3498049603369621,0.14907547210100033,0.12466296930988757,0.15135622451681574,0.22510037373533442,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
599,0.3685847915151945,0.12932002711520765,0.10333588722387277,0.13802381392523363,0.26073548022049153,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.37436195447946446,0.12582795668670932,0.09334718967615256,0.13312858645224404,0.27333431270542974,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.35128270558388036,0.1507151209105209,0.12380840614361009,0.15069187109792057,0.22350189626406805,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
600,0.37133016256135515,0.12901309919659842,0.10279302817631701,0.1381287423767942,0.2587349676889353,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.3778948708562417,0.1243508470358824,0.09159209744728342,0.13372464602352657,0.2724375386370658,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.3525437501300071,0.15212832799768877,0.12369275162578629,0.15005383350703438,0.2215813367394835,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
601,0.37381146719907055,0.1285967286047364,0.10277373506398167,0.13818232936338856,0.2566357397688229,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.38124236860011845,0.1229658428792616,0.08999307724125571,0.13429490497257954,0.2715038063067846,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.35367408137384765,0.15315829054977664,0.12419677063233121,0.14923584878975235,0.21973500865429227,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
602,0.3757640867976887,0.12769916453566835,0.10352292974965975,0.1380153165248838,0.25499850239209937,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.3840080343688213,0.12126827820594994,0.08898616614733033,0.13479820395774192,0.27093931732015664,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.35481869883222106,0.15382180802044734,0.12500740544726552,0.14797958698286098,0.21837250071720501,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
603,0.3771930625851519,0.1262133597289127,0.10487971931930684,0.13748398823626584,0.2542298701303627,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.3861060988872832,0.1191459032751425,0.0889162218141138,0.1350942477328955,0.2707375282905649,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.3559374829110129,0.15427474897682072,0.12584913549411053,0.14616409746871073,0.21777453514934503,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
604,0.3784980182573694,0.12431141550366694,0.10652220817284645,0.13673989765580002,0.25392846041031714,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.38784376773757784,0.11677397597544074,0.0896547824644418,0.13519029572261687,0.2705371780999227,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.3568872026500187,0.15471731246741122,0.12665294136003197,0.14394732613513478,0.21779521738740334,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
605,0.3799521227352387,0.12225662025196551,0.10820982903026788,0.13604676463460114,0.2535346633479267,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.38946403425840104,0.11444442737444815,0.09079261151902006,0.13517490547455377,0.270124021373577,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.3577037831514133,0.1551313251100781,0.12757879373763212,0.14177011270595755,0.21781598529491894,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
606,0.3814109024617718,0.12056542843056126,0.10981089480719339,0.13553202830901398,0.2526807459914596,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.3910307920662301,0.11250531681988576,0.09200605431249541,0.135082123873794,0.26937571292759477,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.35875433455101197,0.15523699083144463,0.12878860499386627,0.13998556330876205,0.21723450631491528,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
