,lightspeed00::Probabilities::Post,lightspeed00::Probabilities::3rdStair,lightspeed00::Probabilities::2ndStair,lightspeed00::Probabilities::1stStair,lightspeed00::Probabilities::Pre,lightspeed00::FrameCount,lightspeed00::SpaceStep,lightspeed00::TimeStep,lightspeed00::PointCount,lightspeed00::RegionLength::Post,lightspeed00::RegionLength::3rdStair,lightspeed00::RegionLength::2ndStair,lightspeed00::RegionLength::1stStair,lightspeed00::RegionLength::Pre
0,0.0,0.0,0.0,3.4078341230643813e-101,0.9999999999999998,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
1,1.7743564770004463e-30,5.87170949420579e-25,1.5978478327519002e-18,4.250237363724467e-12,0.99999999999575,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
2,8.428551535694736e-29,2.2765039984097733e-23,4.5677498602440287e-17,7.823195330828685e-11,0.999999999921768,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
3,2.0543479036824844e-27,4.529783401435761e-22,6.706565939521299e-16,7.417623404481086e-10,0.9999999992582369,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
4,3.548092689846669e-26,6.389801978986227e-21,6.990149154286581e-15,5.016386078614281e-09,0.9999999949836074,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
5,4.865449622926522e-25,7.161530625073753e-20,5.799784038468921e-14,2.717544322957333e-08,0.9999999728244988,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
6,5.403375926456081e-24,6.506306898746515e-19,3.910191212134283e-13,1.2052323683919597e-07,0.9999998794763719,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
7,4.954147485736456e-23,4.885494926958527e-18,2.185108753676652e-12,4.467737139776471e-07,0.9999995532241008,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
8,4.01190440360562e-22,3.2443240230922765e-17,1.0834211335180236e-11,1.482652808309508e-06,0.9999985173363574,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
9,2.9066555590562027e-21,1.9303520580965388e-16,4.830143928559411e-11,4.465290130830256e-06,0.9999955346615673,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
10,1.8805396927182872e-20,1.0272895372655806e-15,1.9333658569678729e-10,1.218730698079122e-05,0.9999878124996817,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
11,1.1072257344854295e-19,4.983861723214121e-15,7.082878745401088e-10,3.072735183739919e-05,0.9999692719398698,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
12,5.933852820962721e-19,2.204871377827228e-14,2.3758959855677774e-09,7.157890956869594e-05,0.9999284187145132,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
13,2.9217797194399075e-18,8.979342842309968e-14,7.367105880753418e-09,0.00015548107652312918,0.9998445115562813,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
14,1.3427150725504949e-17,3.419747846299746e-13,2.1452251485556684e-08,0.0003198054362374404,0.999680173111169,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
15,5.751555919823196e-17,1.216444566476926e-12,5.8588067132874085e-08,0.0006218298144988484,0.9993781115962177,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
16,2.335763315561396e-16,4.110837330620318e-12,1.5264260417601153e-07,0.0011619804535456205,0.9988378668997391,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
17,8.940420175928831e-16,1.31207709672635e-11,3.7712988983041205e-07,0.0020733439888306134,0.997926278868158,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
18,3.2306988627720553e-15,3.961917126061224e-11,8.84988442676435e-07,0.0035363229686198503,0.9964627920033151,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
19,1.1157862306859223e-14,1.1457815586435519e-10,1.9966319630250697e-06,0.005833106188936345,0.9941648970645112,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
20,3.666986425516368e-14,3.159649361464129e-10,4.3112651991433995e-06,0.009258138015140303,0.9907375504036589,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
21,1.15253529107619e-13,8.349833821050351e-10,8.952741848530443e-06,0.014200286085165909,0.9857907603378869,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
22,3.479642060458062e-13,2.1238428815411185e-09,1.7955130795436527e-05,0.021126721499939546,0.9788553212450742,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
23,1.0062618243156654e-12,5.1845988284765505e-09,3.467164159168456e-05,0.030379095817970034,0.9695862273548331,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
24,2.8286038579367375e-12,1.2326054846865782e-08,6.540461146155725e-05,0.04281464402194172,0.9571199390377132,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
25,7.678417979310839e-12,2.835176226772323e-08,0.00011971430714367817,0.058709855310383044,0.9411704020230327,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
26,1.9821011829179764e-11,6.212610905654535e-08,0.00020931558012891185,0.07707473972966823,0.9227158825442728,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
27,5.045798288865638e-11,1.3448548349506313e-07,0.0003624644334149632,0.10037966213453822,0.899257738896105,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
28,1.24128350266182e-10,2.8180124601093373e-07,0.0006089993818100388,0.12698266268782676,0.8724080560049888,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
29,2.924390193301001e-10,5.664135869175644e-07,0.0009836301562184094,0.15450061727956466,0.844515185858191,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
30,6.848322828680765e-10,1.133388272154639e-06,0.0015847436326817293,0.18749271447713026,0.8109214078170836,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
31,1.5393820572735748e-09,2.1800955311791548e-06,0.002458737040220873,0.2189486856154257,0.7785903957094401,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
32,3.3720929584178794e-09,4.09231996716744e-06,0.003728646226239158,0.24956303867972462,0.746704219401976,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
33,7.295158081374194e-09,7.596596253333277e-06,0.005599474263653503,0.281109315761483,0.713283606083452,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
34,1.51564585530144e-08,1.3559258709612278e-05,0.008095112934496619,0.30401683610054897,0.6878744765497861,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
35,3.112516318996204e-08,2.3950176580068072e-05,0.011592430295050282,0.3247406812433174,0.6636429071598893,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
36,6.236907862227037e-08,4.132328671354663e-05,0.01622796928498143,0.3382769151250837,0.6454537299341426,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
37,1.2169149316660976e-07,6.949401938818818e-05,0.022153675760231337,0.34473062655599174,0.6330460819728956,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
38,2.3517251360866026e-07,0.00011585941739733264,0.02999025859195991,0.35398743963714197,0.6159062071809874,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
39,4.4141321209631213e-07,0.00018776085453202785,0.03946535925477404,0.36196317811444073,0.598383260363041,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
40,8.151524980037711e-07,0.0002995925913006416,0.05112095744714846,0.3708673279385548,0.577711306870498,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
41,1.4790984372958247e-06,0.00047000004209626195,0.06507167978401443,0.3818781776111948,0.5525786634642572,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
42,2.6318130264038594e-06,0.0007234314161821195,0.08119907595107377,0.3908240675309367,0.5272507932887812,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
