,"Starting ""Step""",Created knownStepMatrix,Created unknownStepMatrix,"Started ""Compute""",Reshaped Wave Function,Matrix Multiplication,Fine Grain: sparse.csr_matrix,Fine Grain: Solve for nextWaveFunction,Fine Grain: Reshape nextWaveFunction,Solved For Independant Terms and Reshaped,"Appended Wave Function and Finished ""Compute""","Computed and Finished ""Step"""
0,76882.900524822,76882.902851157,76882.903405136,76882.903408488,76882.903749242,76883.063575882,76883.063577767,76883.666408314,76883.666415508,76883.666416905,76883.666774002,76883.666782033
1,76883.667257511,76883.667861915,76883.668202111,76883.668204067,76883.668235076,76883.669470564,76883.66947196,76883.677163203,76883.677169838,76883.677171724,76883.677233952,76883.677240028
2,76883.677794077,76883.678437103,76883.678747197,76883.678749572,76883.678782956,76883.68011217,76883.680113567,76883.687765489,76883.687771565,76883.687773032,76883.687845248,76883.687850556
3,76883.688316884,76883.688842857,76883.689160284,76883.68916224,76883.689205611,76883.690447524,76883.69044941,76883.698247789,76883.698254982,76883.698256379,76883.698321261,76883.698327337
4,76883.698811126,76883.699413156,76883.699736031,76883.699738405,76883.699769834,76883.701057912,76883.701059309,76883.708710882,76883.708718634,76883.708720031,76883.708787637,76883.708793434
5,76883.709249007,76883.709773652,76883.710128515,76883.710131378,76883.710163784,76883.711422459,76883.711423926,76883.719075708,76883.719082483,76883.71908395,76883.719144432,76883.719150229
6,76883.719711471,76883.720113616,76883.720429018,76883.720431392,76883.720462821,76883.721746848,76883.721748245,76883.729524205,76883.72953077,76883.729532655,76883.729597468,76883.729603684
7,76883.730076507,76883.73053641,76883.731053374,76883.731055259,76883.731087456,76883.732334049,76883.732335445,76883.739918295,76883.739925349,76883.739926815,76883.740002104,76883.740008459
8,76883.740464312,76883.741039662,76883.741367915,76883.741370289,76883.741401997,76883.742691891,76883.742693847,76883.750255883,76883.750263007,76883.750264404,76883.750325864,76883.750331591
9,76883.750899887,76883.751298959,76883.751620507,76883.751622952,76883.75165445,76883.753007201,76883.753008597,76883.760782043,76883.760788608,76883.760790075,76883.760851605,76883.760857262
10,76883.761453774,76883.761883715,76883.76221965,76883.762221606,76883.762253314,76883.763512827,76883.763514293,76883.771062432,76883.771068578,76883.771069975,76883.771127174,76883.771132412
11,76883.771451935,76883.771916168,76883.772253221,76883.772255107,76883.772286326,76883.773517902,76883.773519299,76883.781079241,76883.781085317,76883.781086784,76883.781138326,76883.781143564
12,76883.781421043,76883.781883251,76883.782211922,76883.7822129,76883.782258227,76883.783494343,76883.78349581,76883.791163027,76883.791169173,76883.791170151,76883.791221135,76883.791225884
13,76883.791491699,76883.791840206,76883.792398515,76883.792399423,76883.792435181,76883.793675837,76883.793677234,76883.801296261,76883.801303245,76883.801305131,76883.801372318,76883.801379442
14,76883.801897173,76883.802558498,76883.802929354,76883.802932287,76883.802978382,76883.804289088,76883.804290555,76883.81190176,76883.811907976,76883.811909861,76883.811980122,76883.811986687
15,76883.812404266,76883.812931077,76883.813291317,76883.813293691,76883.81332519,76883.814553344,76883.814554811,76883.822243958,76883.822249755,76883.822251222,76883.822306396,76883.822311215
16,76883.822641144,76883.823171098,76883.823483427,76883.823485312,76883.823522468,76883.824789244,76883.824790641,76883.832318176,76883.832324462,76883.832325859,76883.832377332,76883.832382151
17,76883.83283486,76883.83320858,76883.833572731,76883.833574127,76883.833606115,76883.834880574,76883.83488204,76883.842486191,76883.842493734,76883.84249562,76883.842571118,76883.842577683
18,76883.843162532,76883.843941399,76883.844285785,76883.844288648,76883.844321823,76883.845635183,76883.84563665,76883.853457308,76883.853463943,76883.853465828,76883.8535268,76883.853533993
19,76883.854003953,76883.854595786,76883.854919779,76883.854922153,76883.854964128,76883.856209044,76883.856210441,76883.863752992,76883.863759208,76883.863760604,76883.863813474,76883.863818852
20,76883.864149968,76883.864622233,76883.864943222,76883.864945178,76883.864985965,76883.866216564,76883.866218031,76883.873782093,76883.87378782,76883.873789286,76883.873839921,76883.873845089
21,76883.874151901,76883.87471887,76883.875059555,76883.875060952,76883.875091472,76883.876351404,76883.87635329,76883.884243021,76883.884250075,76883.88425196,76883.884316284,76883.8843225
22,76883.884817533,76883.885424382,76883.885756336,76883.885758711,76883.88580299,76883.887158604,76883.887160001,76883.894686838,76883.894694101,76883.894696057,76883.894762615,76883.894768761
23,76883.895250804,76883.895781596,76883.896125493,76883.896127448,76883.896158877,76883.897334092,76883.897335977,76883.904224677,76883.904231521,76883.904232918,76883.904299267,76883.904305483
24,76883.904752396,76883.905271105,76883.905581129,76883.905583504,76883.905615281,76883.90675802,76883.906759976,76883.913391451,76883.913397597,76883.913399552,76883.913451654,76883.913461012
25,76883.913765729,76883.914231917,76883.914534748,76883.914536704,76883.914567434,76883.91571136,76883.915712827,76883.922318949,76883.922324606,76883.922326073,76883.922377127,76883.922381876
26,76883.922778084,76883.923110597,76883.923413498,76883.923415383,76883.923445904,76883.924591436,76883.924593322,76883.931436485,76883.931442561,76883.931443958,76883.931501856,76883.931508002
