,Post-Barrier-Probabilities,Pre-Barrier-Probabilities,Intra-Barrier-Probabilities,Total-Probability,Time,spatialStep,temporalStep,courantNumber,pointCount,barrierStart,barrierWidth,potentialHeight,packetStartX,packetStartY,packetStandardDeviation,packetWaveNumber,backend
36,6.316705675472914e-06,0.9977272624561048,0.002266420838219462,0.9999999999999997,0.0009000000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
37,8.02903953846384e-06,0.9975033860922466,0.0024885848682148527,1.0,0.000925,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
38,1.010513873670176e-05,0.9972599614666459,0.002729933394617321,0.9999999999999999,0.00095,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
39,1.2598467651482604e-05,0.9969955971043251,0.002991804428023449,1.0,0.0009750000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
40,1.5566445969919336e-05,0.9967088364020624,0.0032755971519674745,0.9999999999999998,0.001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
41,1.9070436403295068e-05,0.9963981579182358,0.0035827716453609828,1.0,0.001025,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
42,2.3175791559942265e-05,0.9960619756887317,0.0039148485197085725,1.0000000000000002,0.0010500000000000002,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
43,2.7951986265998616e-05,0.9956986393664564,0.004273408647277708,1.0000000000000002,0.001075,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
44,3.347285966949765e-05,0.9953064342088198,0.004660092931510569,0.9999999999999999,0.0011,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
45,3.981698715525606e-05,0.9948835811274623,0.005076601885382464,1.0,0.0011250000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
46,4.7068197582414816e-05,0.9944282371202017,0.005524694682215655,0.9999999999999998,0.00115,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
47,5.531624279377816e-05,0.9939384964422925,0.006006187314913841,1.0,0.001175,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
48,6.465761951327873e-05,0.9934123928214411,0.006522949559045684,1.0,0.0012000000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
49,7.519653318464519e-05,0.9928479028532639,0.007076900613551434,0.9999999999999999,0.001225,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
50,8.704598713735926e-05,0.9922429504765758,0.007670003536286629,0.9999999999999999,0.00125,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
51,0.00010032897316568827,0.9915954122638728,0.008304258762961819,1.0000000000000002,0.001275,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
52,0.00011517973435245313,0.9909031232439677,0.008981697021679563,0.9999999999999997,0.0013000000000000002,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
53,0.00013174507095321708,0.9901638830342412,0.0097043718948055,0.9999999999999999,0.001325,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
54,0.0001501856580689367,0.9893754621208569,0.010474352221074278,1.0000000000000002,0.00135,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
55,0.0001706773561194604,0.9885356081923194,0.01129371445156096,0.9999999999999999,0.0013750000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
56,0.00019341249455806175,0.9876420525862106,0.012164534919231446,1.0000000000000002,0.0014,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
57,0.00021860112742837638,0.9866925170433303,0.013088881829241379,1.0,0.001425,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
58,0.00024647226014574405,0.9856847209666665,0.014068806773187618,0.9999999999999999,0.0014500000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
59,0.0002772750659803487,0.984616389226568,0.015106335707451473,0.9999999999999999,0.001475,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
60,0.0003112801145835954,0.983485260444553,0.016203459440863554,1.0000000000000002,0.0015,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
61,0.0003487806386287414,0.9822890956890326,0.01736212367233891,1.0000000000000002,0.001525,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
62,0.0003900938707473443,0.981025687499608,0.018584218629644832,1.0000000000000002,0.0015500000000000002,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
63,0.0004355624702205787,0.979692869050356,0.019871568479423247,0.9999999999999999,0.001575,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
64,0.00048555607339514266,0.9782885231666368,0.021225920759968146,1.0000000000000002,0.0016,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
65,0.0005404729698008022,0.9768105910575584,0.022648935972640644,0.9999999999999999,0.0016250000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
66,0.0006007419146449168,0.9752570808126318,0.024142177272723445,1.0000000000000002,0.00165,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
67,0.0006668240540608377,0.9736260757557961,0.025707100190143245,1.0000000000000002,0.001675,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
68,0.0007392149423294006,0.9719157426127654,0.027345042444905075,0.9999999999999999,0.0017000000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
69,0.0008184466137049338,0.9701243394423742,0.029057213943920735,0.9999999999999999,0.0017250000000000002,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
70,0.000905089644399802,0.9682502234500454,0.03084468690555484,1.0,0.00175,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
71,0.0009997551502411123,0.9662918587939103,0.03270838605584869,1.0000000000000002,0.001775,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
72,0.0011030966297178612,0.9642478242949193,0.03464907907536291,1.0,0.0018000000000000002,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
73,0.0012158116053043449,0.9621168207412291,0.036667367653466426,0.9999999999999998,0.001825,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
74,0.0013386429755737233,0.9598976776909901,0.03876367933343624,1.0,0.00185,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
75,0.001472380021685185,0.957589359878063,0.04093826010025154,0.9999999999999998,0.0018750000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
76,0.0016178590118917577,0.9551909732762642,0.04319116771184411,1.0,0.0019,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
77,0.0017759633648236231,0.9527017706583935,0.04552226597678295,1.0,0.001925,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
78,0.0019476233785737287,0.9501211565458755,0.04793122007555052,0.9999999999999998,0.0019500000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
79,0.0021338154938290235,0.9474486917763147,0.05041749272985589,0.9999999999999997,0.001975,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
80,0.0023355611318690963,0.9446840978782358,0.05298034098989496,0.9999999999999999,0.002,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
81,0.002553925121284806,0.9418272610984452,0.05561881378027005,1.0,0.002025,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
82,0.0027900137935465497,0.9388782356842492,0.058331750522203914,0.9999999999999997,0.00205,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
83,0.003044972810052499,0.9358372462818603,0.061117780908087206,1.0,0.002075,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
84,0.00331998477400841,0.932704689567294,0.06397532565869782,1.0000000000000002,0.0021000000000000003,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
85,0.003616266718515668,0.929481135028259,0.06690259825322535,1.0,0.002125,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
86,0.003935067532171423,0.926167324647884,0.06989760781994486,1.0000000000000002,0.00215,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
87,0.004277665418970963,0.9227641714343577,0.0729581631466714,1.0,0.0021750000000000003,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
88,0.004645365419339746,0.9192727572039175,0.07608187737674237,0.9999999999999997,0.0022,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
