,Post-Barrier-Probabilities,Pre-Barrier-Probabilities,Intra-Barrier-Probabilities,Total-Probability,Time,spatialStep,temporalStep,courantNumber,pointCount,barrierStart,barrierWidth,potentialHeight,packetStartX,packetStartY,packetStandardDeviation,packetWaveNumber,backend
48,6.69130560962036e-06,0.9947650505036011,0.005228258190789088,0.9999999999999998,0.0012000000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
49,7.927179651780533e-06,0.9942819355892083,0.005710137231139881,1.0,0.001225,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
50,9.375389681565915e-06,0.9937611483226227,0.006229476287695584,0.9999999999999999,0.00125,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
51,1.1069192275505312e-05,0.993200501705742,0.006788429101982582,1.0000000000000002,0.001275,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
52,1.3046457314098376e-05,0.9925977519673501,0.007389201575336209,1.0000000000000004,0.0013000000000000002,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
53,1.5350207790258477e-05,0.9919506030584134,0.00803404673379653,1.0000000000000002,0.001325,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
54,1.8029207419113372e-05,0.991256711679649,0.008725259112931446,0.9999999999999996,0.00135,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
55,2.1138598211893947e-05,0.9905136927903682,0.009465168611419996,1.0,0.0013750000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
56,2.4740589983947083e-05,0.9897191255596085,0.010256133850407625,1.0,0.0014,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
57,2.8905203405772733e-05,0.9888705597746136,0.011100535021980492,0.9999999999999999,0.001425,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
58,3.3711067879187876e-05,0.9879655227116053,0.012000766220515548,1.0,0.0014500000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
59,3.924627533688857e-05,0.9870015263978941,0.012959227326768866,0.9999999999999998,0.001475,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
60,4.56092907707115e-05,0.9859760751772356,0.013978315531993827,1.0000000000000002,0.0015,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
61,5.290991964926684e-05,0.9848866735731048,0.01506041650724568,0.9999999999999998,0.001525,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
62,6.127033163598621e-05,0.983730834495345,0.016207895173018853,0.9999999999999999,0.0015500000000000002,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
63,7.08261396043867e-05,0.9825060877530987,0.017423086107296967,1.0,0.001575,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
64,8.172753270390432e-05,0.9812099887408935,0.018708283726402746,1.0000000000000002,0.0016,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
65,9.414046153538122e-05,0.9798401272111067,0.020065732327358,1.0,0.0016250000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
66,0.00010824787233898145,0.9783941361580929,0.021497615969568194,1.0,0.00165,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
67,0.00012425098634336762,0.9768697008062486,0.023006048207408248,1.0000000000000002,0.001675,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
68,0.00014237062028339377,0.9752645675588147,0.024593061820901926,1.0,0.0017000000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
69,0.0001628485435680168,0.9735765527609566,0.02626059869547544,1.0,0.0017250000000000002,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
70,0.00018594886595738822,0.9718035513042314,0.02801049982981117,0.9999999999999999,0.00175,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
71,0.0002119594481263925,0.9699435451634018,0.0298444953884721,1.0000000000000002,0.001775,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
72,0.00024119332738550955,0.9679946117929639,0.031764194879650424,0.9999999999999998,0.0018000000000000002,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
73,0.0002739901512359278,0.9659549321620309,0.033771077686733215,1.0,0.001825,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
74,0.000310717610107289,0.9638227983487918,0.03586648404110094,1.0,0.00185,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
75,0.0003517728584646048,0.9615966207938076,0.03805160634772777,1.0,0.0018750000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
76,0.0003975839130224766,0.959274935225629,0.04032748086134851,1.0,0.0019,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
77,0.0004486110182528604,0.9568564090432262,0.04269497993852103,1.0,0.001925,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
78,0.0005053479689198192,0.9543398470087269,0.04515480502235372,1.0000000000000004,0.0019500000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
79,0.0005683233763769426,0.9517241963789815,0.04770748024464178,1.0000000000000002,0.001975,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
80,0.0006381018635444444,0.9490085516603846,0.05035334647607128,1.0000000000000002,0.002,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
81,0.0007152851760900015,0.9461921588597528,0.05309255596415715,1.0,0.002025,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
82,0.0008005131995980188,0.9432744189688198,0.05592506783158184,0.9999999999999997,0.00205,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
83,0.0008944648702688444,0.9402548906744249,0.058850644455306265,1.0,0.002075,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
84,0.0009978589632791037,0.9371332925175568,0.061868848519164035,1.0,0.0021000000000000003,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
85,0.0011114547450737744,0.9339095045197265,0.06497904073519958,0.9999999999999999,0.002125,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
86,0.001236052480804841,0.9305835690258271,0.06818037849336796,0.9999999999999999,0.00215,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
87,0.0013724937877356506,0.9271556906678838,0.07147181554438044,0.9999999999999999,0.0021750000000000003,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
88,0.0015216618199074346,0.9236262357217839,0.07485210245830871,1.0,0.0022,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
89,0.0016844812687761691,0.9199957311033682,0.0783197876278556,1.0,0.002225,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
90,0.0018619181723487142,0.9162648628473222,0.08187321898032894,0.9999999999999999,0.0022500000000000003,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
91,0.0020549795298921117,0.9124344738282361,0.08551054664187167,0.9999999999999999,0.002275,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
92,0.0022647127150788498,0.908505560809794,0.08922972647512713,1.0,0.0023,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
93,0.0024922046755853303,0.9044792711305691,0.09302852419384548,1.0,0.0023250000000000002,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
94,0.0027385809141044887,0.9003568990241954,0.09690452006170013,1.0,0.00235,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
95,0.0030050042542710547,0.8961398813256272,0.10085511442010196,1.0000000000000002,0.002375,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
96,0.0032926733940336216,0.8918297924899597,0.10487753411600635,0.9999999999999998,0.0024000000000000002,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
97,0.0036028212388769226,0.8874283392496559,0.1089688395114673,1.0000000000000002,0.002425,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
98,0.003936713010070793,0.8829373550835418,0.11312593190638767,1.0000000000000002,0.00245,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
99,0.0042956441346436065,0.878358794319988,0.11734556154536833,0.9999999999999999,0.002475,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
100,0.004680937931517875,0.8736947255935816,0.12162433647490066,1.0000000000000002,0.0025,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
101,0.00509394309887571,0.8689473247773458,0.12595873212377842,1.0,0.0025250000000000003,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
102,0.005536031003811887,0.8641188676503907,0.13034510134579746,1.0,0.00255,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
103,0.00600859278314389,0.8592117223800186,0.13477968483683736,0.9999999999999999,0.002575,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
104,0.0065130362772512565,0.85422834168069,0.13925862204205872,0.9999999999999999,0.0026000000000000003,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
105,0.007050782813058616,0.8491712547955578,0.14377796239138346,0.9999999999999999,0.002625,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
106,0.0076232638411139145,0.8440430597427062,0.14833367641617987,1.0,0.00265,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
107,0.008231917432051568,0.8388464162110408,0.15292166635690746,0.9999999999999999,0.0026750000000000003,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
108,0.008878184653015821,0.8335840391315914,0.15753777621539272,1.0,0.0027,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
109,0.009563505851651596,0.8282586928168926,0.1621778013314562,1.0000000000000004,0.002725,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
110,0.010289316865756539,0.8228731857072346,0.16683749742700887,1.0,0.0027500000000000003,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
111,0.011057045170173647,0.8174303657503995,0.17151258907942685,1.0,0.002775,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
112,0.011868105979494737,0.8119331161644585,0.1761987778560469,1.0000000000000002,0.0028,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
