,"Starting ""Step""",Created knownStepMatrix,Created unknownStepMatrix,"Started ""Compute""",Reshaped Wave Function,Matrix Multiplication,Fine Grain: sparse.csr_matrix,Fine Grain: Solve for nextWaveFunction,Fine Grain: Reshape nextWaveFunction,Solved For Independant Terms and Reshaped,"Appended Wave Function and Finished ""Compute""","Computed and Finished ""Step"""
0,73978.67044039,73978.672871067,73978.673347034,73978.673350316,73978.67366942,73978.852809117,73978.853851424,73992.992040608,73992.992085236,73992.9920881,73992.993564958,73992.993609447
1,73992.99475442,73992.996874095,73992.997890212,73992.997894542,73992.998056504,73993.000651307,73993.002671319,74006.604016622,74006.604059085,74006.604061879,74006.604367224,74006.604407382
2,74006.60550235,74006.606930808,74006.608452434,74006.608457114,74006.608553005,74006.612260795,74006.614186592,74020.164323831,74020.164366155,74020.164369018,74020.164699367,74020.164737849
3,74020.165888061,74020.167392506,74020.168820825,74020.168825085,74020.168923351,74020.171443774,74020.17330378,74033.715805231,74033.715847485,74033.71584986,74033.716188379,74033.716231262
4,74033.717647777,74033.719561491,74033.72061176,74033.72061602,74033.720820515,74033.723361122,74033.725154429,74047.260128695,74047.26016641,74047.260170111,74047.260508631,74047.260548021
5,74047.261717718,74047.26341248,74047.264370699,74047.264374959,74047.26451513,74047.268344653,74047.270218627,74060.798946592,74060.79900435,74060.799006725,74060.799317587,74060.7993604
6,74060.80048072,74060.801971476,74060.803479064,74060.803484303,74060.80358201,74060.806183448,74060.808100305,74074.412073935,74074.412112417,74074.41211577,74074.412416854,74074.412458759
7,74074.413673294,74074.415595808,74074.416632598,74074.41663602,74074.41683793,74074.419599305,74074.421426695,74087.973155472,74087.973199821,74087.973202754,74087.973515153,74087.97355622
8,74087.974675212,74087.976747046,74087.977784395,74087.977789703,74087.977887829,74087.982524644,74087.984548847,74101.550775921,74101.550819362,74101.550822225,74101.551151176,74101.551191684
9,74101.552853062,74101.554265946,74101.555209847,74101.555214597,74101.555313282,74101.558217481,74101.560457422,74115.133898794,74115.133939651,74115.133942514,74115.13425205,74115.134293046
10,74115.135411061,74115.136854745,74115.138358143,74115.138362822,74115.138461717,74115.140975225,74115.142806317,74128.717050162,74128.717092137,74128.71709493,74128.717432053,74128.717478707
11,74128.718749324,74128.720678054,74128.721801796,74128.721805079,74128.721943224,74128.726398662,74128.728226541,74142.229585138,74142.229623201,74142.229625995,74142.229927638,74142.229990076
12,74142.231061507,74142.233121188,74142.234113839,74142.234118658,74142.234218461,74142.237031936,74142.238884818,74155.729390749,74155.729431816,74155.729434749,74155.729740443,74155.729783466
13,74155.730874522,74155.732776852,74155.733758886,74155.733763146,74155.733858619,74155.736623346,74155.738724373,74169.28522108,74169.285262146,74169.28526501,74169.285561625,74169.285601225
