,"Starting ""Step""",Created knownStepMatrix,Created unknownStepMatrix,"Started ""Compute""",Reshaped Wave Function,Matrix Multiplication,Fine Grain: sparse.csr_matrix,Fine Grain: Solve for nextWaveFunction,Fine Grain: Reshape nextWaveFunction,Solved For Independant Terms and Reshaped,"Appended Wave Function and Finished ""Compute""","Computed and Finished ""Step"""
24,75107.480916622,75107.482787034,75107.4838255,75107.483830878,75107.484034953,75107.486650779,75107.488878149,75121.024125293,75121.024166569,75121.024169502,75121.024517241,75121.024558168
25,75121.025766208,75121.027555674,75121.028507817,75121.028511658,75121.028606851,75121.031299502,75121.033161533,75134.412544617,75134.412585125,75134.412588896,75134.412887118,75134.412927625
26,75134.414057932,75134.41585124,75134.416814767,75134.416819097,75134.416918341,75134.419581728,75134.42144802,75147.89028795,75147.890328388,75147.890331251,75147.890627167,75147.890667605
27,75147.89174169,75147.89321373,75147.894662651,75147.89466782,75147.894763013,75147.897374019,75147.899147981,75161.358474307,75161.358513977,75161.358516351,75161.358813036,75161.358856826
28,75161.360018143,75161.361841762,75161.362829942,75161.362836228,75161.363100436,75161.365604167,75161.367502376,75174.916643483,75174.916685248,75174.916687623,75174.917005329,75174.917046745
29,75174.918133751,75174.920140912,75174.921124622,75174.921128883,75174.921228825,75174.923936981,75174.925758085,75188.495087926,75188.495127456,75188.495130319,75188.495424489,75188.495464927
30,75188.496591603,75188.498560561,75188.499515497,75188.499520316,75188.499616068,75188.502328204,75188.504134572,75201.886666718,75201.886728737,75201.886733905,75201.88707857,75201.887129973
31,75201.888261887,75201.890215689,75201.891200867,75201.891205127,75201.891302066,75201.894011968,75201.895801155,75215.338948809,75215.339005101,75215.339007475,75215.339327976,75215.339372255
32,75215.340483286,75215.342036271,75215.34352577,75215.343531078,75215.343639471,75215.346319411,75215.348279359,75228.906057705,75228.906102333,75228.906124892,75228.906434288,75228.90647703
33,75228.907622144,75228.908987047,75228.910462438,75228.910467187,75228.910565733,75228.913227304,75228.915015514,75242.413033712,75242.413073871,75242.413076734,75242.413432993,75242.413475387
34,75242.414599967,75242.416507116,75242.417479303,75242.417483633,75242.417580223,75242.420283978,75242.422187495,75255.779267248,75255.779307198,75255.779309991,75255.779605698,75255.77964872
35,75255.780839649,75255.782720049,75255.783678058,75255.783689372,75255.783879829,75255.786502289,75255.788324721,75269.151065298,75269.151105387,75269.151107762,75269.151409545,75269.151452497
36,75269.152706912,75269.154509997,75269.155570324,75269.155582476,75269.155773142,75269.158361799,75269.160172358,75282.691349505,75282.691389594,75282.691392457,75282.69169445,75282.691736843
37,75282.692883912,75282.694826191,75282.69583274,75282.69583707,75282.695936175,75282.698690285,75282.700582069,75296.192113471,75296.19215342,75296.192156773,75296.192451362,75296.192494384
38,75296.193594869,75296.195108604,75296.19655131,75296.19655564,75296.196652998,75296.199282652,75296.2011245,75309.775313519,75309.775354935,75309.775357868,75309.775656718,75309.775697715
39,75309.776805743,75309.778663234,75309.779657142,75309.779660494,75309.779825319,75309.782427316,75309.784290814,75323.347544755,75323.347585263,75323.347588057,75323.3478897,75323.347933421
40,75323.349044661,75323.350559024,75323.352141831,75323.352147558,75323.352268732,75323.354797396,75323.356601879,75336.944494266,75336.944537148,75336.944539523,75336.944846334,75336.944891102
41,75336.946029511,75336.947890984,75336.948878396,75336.948883215,75336.94900404,75336.951676786,75336.953516608,75350.522080562,75350.52212107,75350.522123514,75350.522427532,75350.522469856
42,75350.523650588,75350.525483985,75350.526462248,75350.52646602,75350.526626305,75350.529315394,75350.531204314,75363.910138161,75363.910181671,75363.910184465,75363.910499867,75363.910544146
43,75363.911667819,75363.913647742,75363.914797604,75363.914802423,75363.914900271,75363.917713327,75363.919580387,75377.429693343,75377.42973392,75377.429736295,75377.430050998,75377.430092973
44,75377.431235712,75377.433110873,75377.43411819,75377.434133066,75377.434358932,75377.436872581,75377.43879279,75391.005578242,75391.005619727,75391.005622102,75391.005919974,75391.005980247
45,75391.007072141,75391.008554447,75391.010035496,75391.010040315,75391.010160372,75391.012715924,75391.014516845,75404.391517981,75404.391557511,75404.391560375,75404.391863136,75404.391905529
46,75404.393010274,75404.394440688,75404.3960566,75404.39606093,75404.396162898,75404.398746248,75404.400562114,75417.762607773,75417.762648281,75417.762651214,75417.76294301,75417.763004051
47,75417.764213069,75417.766146758,75417.76713836,75417.767142621,75417.767241306,75417.769885068,75417.77174228,75431.363343854,75431.363384292,75431.363387156,75431.363694945,75431.363738456
48,75431.364934064,75431.366718363,75431.36780013,75431.36780914,75431.368041012,75431.370594819,75431.37255386,75444.90974802,75444.909789855,75444.909792718,75444.910121181,75444.910163085
49,75444.91133411,75444.912777305,75444.914263801,75444.91426862,75444.914364232,75444.91688242,75444.918719937,75458.448797717,75458.448838574,75458.448841018,75458.449170319,75458.44921355
50,75458.450298182,75458.452244302,75458.453224381,75458.453228711,75458.453327955,75458.456037367,75458.457857913,75471.988294466,75471.988334485,75471.988337349,75471.98863557,75471.988678522
51,75471.989784105,75471.991184977,75471.992631943,75471.992636762,75471.992733631,75471.995294772,75471.997142905,75485.467099647,75485.467140225,75485.467143088,75485.467442078,75485.467482935
52,75485.468592778,75485.470022214,75485.4714916,75485.471496349,75485.471627161,75485.474302352,75485.476108301,75499.03931922,75499.039381797,75499.03938508,75499.039715079,75499.039759428
53,75499.040909709,75499.042365685,75499.043890803,75499.043895553,75499.044019101,75499.046516127,75499.048346451,75512.620259282,75512.62030391,75512.620306774,75512.620610093,75512.620650671
54,75512.621758629,75512.623213767,75512.624687692,75512.624692441,75512.62480691,75512.627327962,75512.629274082,75526.084378572,75526.084422083,75526.084424877,75526.084765352,75526.084807326
55,75526.086001119,75526.087907779,75526.089026562,75526.089031311,75526.08915486,75526.091636032,75526.09363125,75539.549719731,75539.54975968,75539.549762055,75539.55012411,75539.550201774
56,75539.551887387,75539.55382778,75539.554918557,75539.554922887,75539.555065502,75539.557588649,75539.559514864,75553.073513495,75553.073557355,75553.073559729,75553.073874154,75553.073916966
57,75553.075073184,75553.077050803,75553.078032348,75553.078037028,75553.078161415,75553.081743421,75553.083673967,75566.452662172,75566.452705474,75566.452708267,75566.45302793,75566.453070463
58,75566.454185126,75566.45601063,75566.456985681,75566.456989941,75566.45712222,75566.459894699,75566.461730191,75579.815155373,75579.81519616,75579.815198535,75579.815492007,75579.815532514
